,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,68ml3Lm4GNTlpNmmUJfvUu,Main Title (A Nightmare on Elm Street),Charles Bernstein,39,1984-11-16,False,0.172,0.4,2,-10.423,1,0.000421,0.0334,0.111,0.038,111.95,212667,4
1,7swocJUCUWTCiRUAU9oerC,Halloween Theme - Main Title,John Carpenter,55,2010-09-17,False,0.636,0.466,4,-15.534,1,0.134,0.942,0.156,0.296,136.206,175334,4
2,5DvzxB7yVZDtQktmF0jR3q,End Credits (Stephen King's IT),Richard Bellis,29,1990-11-18,False,0.449,0.401,7,-15.433,1,0.0329,2.16e-05,0.0878,0.84,180.918,61301,3
3,1Vya0Wd5w4HGeEvCipqg74,Hellraiser,Christopher Young,37,2017-09-15,False,0.204,0.12,8,-18.706,1,0.885,0.916,0.0965,0.0384,88.786,102000,3
4,5Qoim8DAoAmL8KxDti0ofr,"Child's Play Theme (From ""Child's Play"")",Retrospectre,0,2016-12-01,False,0.492,0.754,11,-6.114,0,0.0497,0.971,0.102,0.62,151.992,134130,4
5,3lIniYPvbA0PEz5ggV9qbL,The Shining (1980)-Main Title Theme (Dies Irae),Chuck Cirino,0,2009-07-20,False,0.151,0.0848,5,-27.209,0,0.606,0.447,0.124,0.0725,65.514,212000,4
6,0RK9q7CT0F8wRKVX4hlagk,Main Titles (Trick 'r Treat),Douglas Pipes,35,2007,False,0.277,0.244,8,-13.169,1,0.849,0.855,0.129,0.0671,75.703,140452,4
7,0kwuKfWntoGh0EWyYb7Mpf,Stranger Things,Kyle Dixon & Michael Stein,64,2016-08-12,False,0.352,0.551,4,-16.545,0,0.779,0.902,0.167,0.103,168.022,67520,4
8,2aAbjYIg2uHBm8sBFlGdBZ,Main Titles,Charlie Clouser,42,2007,False,0.446,0.412,1,-18.063,0,0.155,0.365,0.114,0.04,125.944,176587,4
9,4HYqEiPvJagC95cq6y7kXt,Hello Zepp,Charlie Clouser,0,2004-10-05,False,0.496,0.723,9,-10.478,0,0.0838,0.201,0.306,0.331,137.176,180507,4
10,2cji350vUbvxQ9QwyL5Nkp,Theme from the Walking Dead,Bear McCreary,45,2017-10-20,False,0.396,0.543,0,-14.288,0,0.553,0.745,0.266,0.145,91.33,49322,4
11,4HMKTN4ZddvohBIqXlMQ4b,Crooked Man rhyme,joseph bishara,26,2016-06-03,False,0.669,0.139,0,-18.425,1,0.994,0.855,0.0595,0.526,110.003,52713,4
12,0CLM9K4XOnfz0l6cBRgEnm,The Exorcist (Main Theme),The Intermezzo Orchestra,0,2015-01-23,False,0.527,0.468,9,-12.7,0,0.803,0.671,0.111,0.49,149.026,212454,3
13,3o3wH4A1bBImXFJA64qXDN,"Candyman Theme (It Was Always You, Helen) [From ""Candyman""]",Philip Glass,0,2016-12-01,False,0.523,0.391,4,-16.502,1,0.98,0.774,0.106,0.765,184.186,190467,4
14,3UJWTHeEruyf2rWAf518hf,Epilogue - The Pennywise Dance,Benjamin Wallfisch,33,2017-09-08,False,0.11,0.65,8,-7.854,0,0.851,0.969,0.327,0.298,83.185,36400,3
15,7zW9lt4Se4e2kvqkNyXEz3,The Buddi Song (feat. Mark Hamill),Mark Hamill,30,2019-06-14,False,0.355,0.195,2,-13.916,1,0.684,0.0884,0.211,0.463,175.82,134880,4
16,3kOLSO0EZvDZvJh1uX3J5X,Prelude,Bernard Herrmann,31,1997-01-01,False,0.568,0.331,11,-17.416,1,0.955,0.327,0.15,0.305,75.87,116333,4
17,01YROQCnF1AQm7SCWJmD2o,This Is Halloween,The Citizens of Halloween,66,2006-01-01,False,0.569,0.508,7,-12.823,1,0.768,0.0,0.145,0.647,167.624,196560,4
18,0H1dKI8EEOmFMqQiVPmDmU,Beetlejuice: Main Theme,Various Artists,25,2002,False,0.446,0.624,2,-10.411,0,0.088,3.4e-06,0.121,0.494,147.555,123902,4
19,5syPnENi9HIKVpZ6gz96TN,Gremlins- Main Theme,Geek Music,28,2017-04-20,False,0.709,0.581,0,-12.35,0,0.121,0.407,0.168,0.784,120.011,192125,4
20,0Uvm8ZEbzHSQaNqAReVgCB,"A Nightmare On Elm Street: One, Two, Freddy's Coming For You: Freddy's Theme - Version One",Geek Music,30,2019-08-21,False,0.239,0.293,1,-16.207,1,0.314,6.96e-05,0.107,0.0617,205.794,84175,5
21,6AavL65Dp7d2PYeE10MH6s,Children Of The Corn (Theme),Themeomatic,0,2013-05-31,False,0.337,0.417,7,-9.527,1,0.104,2.77e-05,0.201,0.0984,124.952,90331,3
22,1g10rYqM3jJQsWRnXCFcx7,Main Title And First Victim,John Williams,43,1975-01-01,False,0.164,0.0634,9,-24.086,1,0.847,0.949,0.0927,0.0363,168.214,206507,4
23,1bBvch0ad2VfBuPUXJTV8I,Overlay of Evil / Main Title,Harry Manfredini,35,2017-10-15,False,0.311,0.181,11,-16.076,1,0.951,0.886,0.152,0.031,75.865,212973,4
24,6IFwYmEuLwnKB4cINzVB1g,The Texas Chainsaw Massacre (Theme),Scary Music Masters,14,2017-04-05,False,0.168,0.545,6,-8.995,1,0.97,0.13,0.106,0.077,78.085,84080,4
25,1B90LMgXuEfUlAVLotB1AK,People Are Strange,Echo & the Bunnymen,0,1987-06-15,False,0.517,0.451,4,-11.438,0,0.041,4.21e-05,0.0936,0.574,120.735,219067,4
26,2IBfYLzPXSejSBYKwLW8sA,Lost in the Shadows (The Lost Boys),Lou Gramm,45,1987-06-15,False,0.638,0.938,7,-6.348,0,0.133,0.0,0.0722,0.652,163.785,393733,4
27,2ArRALfrjJlrJFSux7WOEn,Tales from the Crypt,Danny Elfman,42,1992-10-09,False,0.532,0.408,3,-19.429,0,0.926,0.944,0.129,0.349,146.328,147707,4
28,5uGk3v4dLFzUfPpKdW1vDz,Laurie's Theme,John Carpenter,40,2010-09-17,False,0.337,0.0337,11,-18.213,1,0.961,0.879,0.101,0.0569,162.457,124944,3
29,36muSTyh3Nl22OudkdUN13,A Halloween Nightmare on Friday the 13th - Mash-Up,Alala,12,2019-09-30,False,0.439,0.578,2,-10.183,1,0.0533,0.914,0.178,0.0472,145.003,238034,5
