,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0kwuKfWntoGh0EWyYb7Mpf,Stranger Things,Kyle Dixon & Michael Stein,64,2016-08-12,False,0.352,0.551,4,-16.545,0,0.779,0.902,0.167,0.103,168.022,67520,4
1,6nnSkEpzo8PmHsOlSopoO6,Can't Seem To Make You Mine,The Seeds,49,1966,False,0.699,0.384,7,-13.691,1,0.148,0.0,0.121,0.584,109.573,185481,4
2,7GeQk8PqG5NAENxCRLcw0B,She Has Funny Cars,Jefferson Airplane,44,1967,False,0.617,0.676,6,-11.055,0,0.363,0.000156,0.153,0.641,97.289,188080,4
3,1KHig9DIbcRrNiGdCZxCaj,I Shall Not Care,Pearls Before Swine,18,2018-04-01,False,0.46,0.657,0,-10.466,1,0.595,0.0029,0.108,0.32,106.519,317107,4
4,4GBOWK3lV5zSVtcgEfTWFT,Jenny May,Trader Horne,34,2015-06-30,False,0.396,0.287,0,-15.73,0,0.928,0.00896,0.0987,0.381,108.13,146533,4
5,4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Jefferson Airplane,72,1967,False,0.551,0.293,2,-12.503,1,0.486,0.000273,0.0864,0.322,106.798,150640,4
6,2374M0fQpWi3dLnB54qaLX,Africa,TOTO,84,1982-04-08,False,0.671,0.373,9,-18.064,1,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
7,2gfZCMsk9arAdwJvXRURvK,No Weapons,Kyle Dixon & Michael Stein,31,2016-08-12,False,0.173,0.0281,8,-30.28,1,0.724,0.916,0.197,0.0283,124.846,204130,3
8,3AvzTIL9yhGA8ekk6fpnDm,Go Nowhere,Reagan Youth,19,1984,False,0.425,0.73,4,-8.864,0,0.000216,5.67e-05,0.19,0.704,153.597,82093,4
9,3l9IOcN6iVi03A1sPMyR4p,Jingle Bells,The Canterbury Choir,0,2012-10-23,False,0.607,0.736,5,-11.3,1,0.22,0.0,0.176,0.825,109.51,137899,4
10,4IGHL63JpwPV0PuK6V59EE,I'm Taking off (Shield Your Eyes),Space Knife,34,2013-07-11,False,0.719,0.388,9,-8.63,1,0.00193,0.000142,0.046,0.881,158.032,148821,4
11,1I5lXPH6tzEANkKSAekQLx,Tie A Yellow Ribbon,Brotherhood of Man,18,2009-12-21,False,0.645,0.718,5,-7.592,1,0.317,0.0,0.337,0.674,90.485,176360,4
