,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6VYQO4kiOsYuBYSBxgQFOl,Drive Slow,Doc Robinson,44,2017-07-22,False,0.599,0.739,0,-8.221,1,0.2,6.24e-05,0.709,0.79,72.001,272187,4
1,19kCZfXDx6zH1VMVevYV2G,Intro - Sweet Glory,Jimkata,43,2012-09-18,False,0.713,0.592,9,-7.529,0,0.00218,0.00635,0.113,0.421,139.973,159163,4
2,1AriopKi2eWSCPixejk3GM,Mudhouse,Bob Schneider,40,2006-01-23,False,0.716,0.857,9,-7.918,1,0.0337,0.0,0.309,0.827,111.683,217080,4
3,0OoODSk0hu4WWmi3yKbRP3,Midnight Lorry,DISPATCH,1,2017-06-02,False,0.497,0.638,0,-6.564,1,0.394,0.00249,0.133,0.569,82.285,339360,4
4,1zTD6Z2T4Pks6P0urU5RVK,Rocky Raccoon,Nicholas Mrozinski,50,2011-12-06,False,0.642,0.706,3,-8.114,1,0.528,8.59e-05,0.354,0.829,100.644,220733,4
5,7j4Tj5XhOAZ6hNcYDDHmYk,(Let's Go) Smoke Some Pot,Dash Rip Rock,42,2000-01-01,False,0.469,0.902,7,-7.869,1,0.0244,0.0,0.304,0.606,112.214,136187,4
6,1LgUuaQ3n4g848HIj5nuri,Everything I Like,The Suitcase Junket,13,2019-04-05,False,0.772,0.804,5,-7.152,1,0.0247,0.0,0.0276,0.909,109.967,219347,4
7,3MWlRAymfNmKb4REYGKLVR,Emmanuel,TK & The Holy Know-Nothings,40,2019-05-24,False,0.613,0.281,7,-10.92,1,0.675,9.49e-05,0.103,0.484,145.207,253653,4
8,5rBQhNwC1YSn7Zr9MCBVx3,Minnesota Girls,The Shackletons,38,2017-12-25,False,0.434,0.631,1,-7.502,1,0.0598,0.0,0.0787,0.338,123.545,271987,4
9,46RyOcQ9qRJLjVJhskVVGA,Means Nothing,Henry the Archer,21,2014-09-06,False,0.698,0.589,2,-7.584,1,0.000246,0.00096,0.0862,0.624,102.06,220160,4
10,2RPRG4CSmUEKw16kdTNivn,Under the Big Top,Cris Jacobs,40,2019-04-12,False,0.419,0.832,5,-8.649,0,0.0597,0.000241,0.141,0.591,174.836,227300,4
11,3YQmcCx3b9N3YnS1yQ7H3c,Sit Down on It,The California Honeydrops,0,2015-07-01,False,0.66,0.667,7,-5.918,1,0.0238,0.000201,0.0259,0.889,170.184,301120,4
12,1bYzoLz1GonUYnrqjMppKc,The Fish Aren't Bitin' Today,David Allan Coe,44,1979-11-01,False,0.538,0.534,2,-9.612,1,0.744,0.000182,0.299,0.85,153.405,188160,4
13,39MtCItvBqnRuIxKEQawqG,Nutty Nut-Meg Phantasy,Weapon of Choice,11,1994-10-25,False,0.529,0.641,5,-7.418,1,0.0775,1.18e-06,0.0564,0.59,88.424,426733,4
14,2ANTMlCpabwixSqlECimrr,Come on Get Up,The Hip Abduction,46,2019-08-09,False,0.661,0.818,1,-7.717,1,0.177,0.0534,0.114,0.433,89.983,212601,4
15,5jQOUcW3kQiKIBHXdMHIs6,Universal Love,D-Shade,25,2002-07-05,True,0.48,0.907,8,-4.729,1,0.0375,0.0,0.329,0.647,93.316,223947,4
16,71uuSNQ9oYxzQ7Mf9UtWXg,2016 Was...,Garrett Dale,33,2017-05-26,False,0.357,0.517,7,-8.29,1,0.563,0.0,0.149,0.584,113.999,188427,3
17,4VVRj6Ri1GKdRv7T1PVzdh,Evolver,Brownout,25,2017-06-02,False,0.344,0.837,4,-4.907,0,0.234,0.00151,0.116,0.871,174.577,218797,4
18,053FBKe6P6JoJQbTNqaHsL,The Way,Mike and the Moonpies,49,2019-05-31,False,0.532,0.667,6,-8.364,0,0.0958,0.0,0.211,0.911,138.163,228827,4
19,4vNv6potSMIJECI4TP6lRK,Journey Man,Jesse Roper,0,2015-01-23,False,0.665,0.798,8,-7.19,1,0.00635,0.0354,0.094,0.642,104.007,315884,4
20,2ftkqHtPfuYkyy0oy76qBq,Tura Lu,The Bollox,49,2012-01-29,False,0.651,0.691,11,-7.991,1,0.144,0.0,0.241,0.624,140.273,224732,4
21,5tv2Xb1s1CyeM5VbLyavCC,"Hey, Hey What Can I Do - 2019 Remaster",Hootie & The Blowfish,54,1994-07-05,False,0.454,0.796,0,-6.556,1,0.329,0.0,0.163,0.533,157.342,236080,4
22,4N35XUDDH6s3B3O9WuMi3L,Suds and Bud,Breadwin Deville,30,2019-01-01,False,0.658,0.89,11,-4.211,1,0.0813,0.0,0.088,0.675,79.935,224719,4
