,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,Joan Jett & the Blackhearts,77,1981-11-18,False,0.535,0.716,4,-5.025,1,0.326,0.0,0.659,0.901,94.379,175173,4
1,5NoQvINZLBV1wMYPdNmReL,I Wanna Be Sedated,Ramones,68,1978,False,0.56,0.965,11,-2.341,1,0.121,6.23e-06,0.169,0.964,162.825,149787,4
2,4tvBoSWeIW0bjhKNre5mod,Thunder Kiss '65,White Zombie,69,1992-01-01,False,0.684,0.851,9,-9.792,1,0.000613,0.0029,0.535,0.512,112.662,234080,4
3,16E7LWSzLLMPWYGNCwu7Sc,Infected,Bad Religion,56,1994-08-30,False,0.49,0.845,9,-8.746,0,0.00714,1.03e-05,0.0937,0.655,121.575,247600,4
4,0XHWClSz0v6RIaRSGqJH3X,Smoke on the Water,Deep Purple,58,1980,False,0.616,0.612,0,-11.084,1,0.169,0.434,0.101,0.897,114.558,337613,4
5,0TI8TP4FitVPoEHPTySx48,Iron Man,Black Sabbath,72,1970-09-18,False,0.332,0.769,9,-11.503,1,0.00367,0.00413,0.0372,0.525,157.378,354774,4
6,4f3RDq9nYPBeR1yMSgnmBm,You've Got Another Thing Coming,Judas Priest,67,1982,False,0.519,0.833,6,-6.947,0,0.00572,4.33e-06,0.104,0.532,138.225,310080,4
7,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,79,1976,False,0.377,0.681,7,-8.039,1,0.00088,0.0023,0.0504,0.285,108.789,285133,4
8,20I8RduZC2PWMWTDCZuuAN,Take Me Out,Franz Ferdinand,79,2004-02-16,False,0.277,0.663,4,-8.821,0,0.000409,0.00051,0.136,0.527,104.561,237027,4
9,0f9h8awV1X4jSllHXXYdfX,Sharp Dressed Man,ZZ Top,53,1992-04-13,False,0.653,0.766,0,-8.078,1,0.000464,0.00206,0.103,0.396,125.113,251947,4
10,300YN8ebGB90nDuzgz0f3O,Killer Queen,Queen,69,2018-10-19,False,0.526,0.64,10,-6.374,1,0.365,1.3e-06,0.0958,0.622,117.132,179356,4
11,2Pe7SuBE6b8jOtQDH66Gm4,Hey You,The Exies,48,2004-01-01,False,0.481,0.966,8,-3.149,1,6.57e-05,0.00255,0.0458,0.504,100.824,238600,4
12,6ISuXA3UCPMtsyEUGUTAyn,Stellar,Incubus,62,1999-10-26,False,0.582,0.765,9,-6.544,1,0.00106,0.0506,0.344,0.528,128.164,200493,4
13,1yHsQ2WRsi2eYR8mtfSW72,Heart Full of Black,Burning Brides,38,2016-09-18,False,0.406,0.951,9,-5.095,1,0.000666,1.08e-05,0.129,0.188,145.682,195627,4
14,51TG9W3y9qyO8BY5RXKgnZ,Symphony Of Destruction,Megadeth,74,1992-07-14,False,0.61,0.891,4,-5.452,0,0.000805,0.0928,0.0657,0.51,139.903,246733,4
15,5IyL3XOaRPpTgxVjRIAxXU,Ziggy Stardust - 2012 Remaster,David Bowie,66,1972-06-06,False,0.515,0.554,7,-11.616,1,0.0478,0.0,0.219,0.509,80.146,193880,4
16,4KacUpvbA3Mfo05gttTjhN,Fat Lip,Sum 41,73,2001-01-01,True,0.402,0.914,9,-5.215,1,0.000579,0.0,0.065,0.626,196.505,178267,4
17,1TDk2Jmi4dVZhm2dum3Jim,Cochise,Audioslave,66,2002-11-17,False,0.452,0.873,9,-4.867,1,0.000519,0.0,0.0592,0.433,80.473,222027,4
18,6QyBIZEvs11K9lKjyLYtv6,Take It Off,The Donnas,51,2003-04-01,False,0.412,0.951,11,-3.371,0,2.61e-06,0.00239,0.0958,0.333,158.78,162000,4
19,0z25tUQgEI4cIyNZ1TgWig,Unsung,Helmet,62,1992-01-01,False,0.311,0.814,9,-9.272,1,6.74e-05,0.00534,0.198,0.731,160.303,236400,4
20,2KFE98Iw0X23sf4vJYcbLH,Spanish Castle Magic,Jimi Hendrix,52,1967-12-01,False,0.405,0.831,5,-5.293,0,0.0504,0.0918,0.805,0.805,130.856,183320,5
21,5jotVjBvm9rSZSHvj4QA9R,Higher Ground,Red Hot Chili Peppers,46,2003-11-18,False,0.485,0.968,9,-8.184,1,0.00224,0.248,0.0781,0.404,140.573,203453,4
22,6y20BV5L33R8YXM0YuI38N,No One Knows,Queens of the Stone Age,72,2002-01-01,False,0.509,0.584,0,-4.907,1,0.0368,9.96e-05,0.384,0.685,170.411,278747,4
23,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,Motörhead,75,1980-11-08,False,0.342,0.91,4,-7.748,1,4.02e-05,0.000121,0.0823,0.547,140.452,166360,4
24,6PUabSMXmPnZna361Wwmf7,Crossroads - Live,Cream,58,1968-07-01,False,0.391,0.756,7,-11.317,1,0.413,0.0418,0.879,0.839,131.648,258467,4
25,6N0AnkdDFZUetw8KAGHV7e,Godzilla,Blue Öyster Cult,62,1977,False,0.373,0.869,4,-7.719,1,0.164,7.76e-06,0.605,0.696,184.024,221400,4
26,5MtN38MGEWJt60LwtBmFNP,Texas Flood,Stevie Ray Vaughan,58,1983,False,0.256,0.423,6,-11.994,1,0.000788,0.402,0.25,0.441,173.27,320907,3
27,4g8ZUOxhPMXN5wVSP7gCau,Frankenstein,The Edgar Winter Group,45,1972-05-09,False,0.628,0.669,2,-14.636,0,0.0901,0.898,0.237,0.5,96.152,284293,4
28,2SgbR6ttzoNlCRGQOKjrop,Cowboys from Hell,Pantera,72,1990-07-20,True,0.415,0.908,2,-9.701,1,0.00437,0.0345,0.082,0.437,114.816,243533,4
29,2E7W1X4maFFcjHrVrFA7Vs,Bark at the Moon,Ozzy Osbourne,66,1983-12-10,False,0.303,0.961,9,-5.333,0,0.00253,6.2e-05,0.132,0.305,146.591,257120,4
30,2xSpHAvzlfm1UAiDMN5h3f,Fire It Up,Black Label Society,35,2005,False,0.446,0.781,10,-6.01,1,7.26e-05,0.0369,0.464,0.354,92.42,300188,4
31,4m8JqVnhu42aOHqdiLRqlJ,Cheat On The Church,Graveyard BBQ,39,2006-11-02,False,0.541,0.592,6,-11.066,1,3.73e-05,0.154,0.0977,0.764,143.013,248653,4
32,6pRNfBHv2uPHVVgFIVguWG,Cavemen Rejoice,The Bags,33,2005-01-01,False,0.333,0.757,11,-3.135,0,0.025,0.0763,0.159,0.69,78.662,213067,4
33,54NmmrmZ2s27Gi3yPRqUN9,Eureka - I've Found Love,The Upper Crust,15,2005-12-13,False,0.458,0.913,8,-3.914,1,0.000888,6.4e-06,0.246,0.658,147.253,176427,4
34,41Qy9XGD19I9Vq9zMWVLL2,All Of This,Shaimus,36,2006-01-01,False,0.521,0.801,4,-4.562,1,0.322,0.73,0.0539,0.673,159.869,155267,4
