,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5Cg6S5BXG6lXqjijSK9zFh,War Pigs,CAKE,57,2007-11-13,False,0.581,0.566,5,-8.169,0,0.00698,2.93e-06,0.0968,0.449,83.904,234013,4
1,3UlDUxnvRv9BpcCmuqGZ7b,The Shame of Life,Butthole Surfers,47,2001-08-28,False,0.605,0.864,7,-6.636,1,0.00112,0.106,0.326,0.617,91.988,234787,4
2,73fO5oUCeskKOAreqVIS0A,Straight Line,Pete Bernhard,43,2009-09-07,False,0.618,0.534,7,-12.581,1,0.602,8.61e-05,0.125,0.655,91.764,220640,4
3,51DHjH0JVIZxQ6bOX5cSbe,Tree Trunks,Late Night Radio,41,2014-09-29,False,0.651,0.833,6,-5.459,0,0.291,0.737,0.463,0.857,190.085,267987,4
4,1Yxbxg5R6dQcYmOdjvlXP0,Roll The Bones - Audiotree Live Version,Shakey Graves,61,2013,False,0.597,0.549,1,-10.253,1,0.651,1.47e-05,0.0991,0.204,122.801,291596,4
5,2LObPbWbYNgK9pkdP2PzTn,Fuck You I'm Drunk,Bondo,39,1998-06-01,True,0.353,0.724,6,-6.632,1,0.564,0.0,0.613,0.643,52.81,119093,4
6,4rUMDtcu6iXIKr1ZzlkfAb,Big Man,honeyhoney,31,2015-01-01,False,0.499,0.499,10,-6.598,0,0.00911,0.0,0.11,0.506,79.285,203960,4
7,5jsl5OwqVCSiu1KqLI9J5h,Dog's Life,Too Rude,41,1998-01-01,True,0.846,0.686,5,-7.167,1,0.114,0.0,0.105,0.787,93.119,266667,4
8,2uRKV1gBNv6qdpDqr0aGJh,Hang Tan,Toubab Krewe,38,2005-01-01,False,0.549,0.726,4,-7.213,0,0.126,0.481,0.0968,0.692,110.676,331120,4
9,0SygxxULjgO73eoWGVFleR,Tie My Pecker to My Leg - Remastered,Mojo Nixon,36,1985,True,0.617,0.845,4,-8.553,1,0.455,0.000194,0.231,0.959,163.912,200400,4
10,5d9iE42Iq5V9u318h4c7eA,Fuck That Guy,Mike Campbell & The Dirty Knobs,42,2020-11-20,True,0.738,0.465,3,-11.748,1,0.108,0.33,0.0944,0.972,124.476,190600,4
11,3pSPHVATg0lCDfjqRTDxo0,I Know,Glorietta,14,2018-08-24,False,0.541,0.524,0,-11.201,0,0.199,0.168,0.13,0.411,80.549,252697,4
12,2f26s2OTd5PospyTITUR0n,Blaze On,Phish,40,2016-10-07,False,0.674,0.88,0,-6.468,1,0.109,0.0,0.147,0.773,94.927,260013,4
13,7rLNkzAfGo61kPAWhlnGxt,Trooper With an Attitude,38 Special,34,2011-08-30,False,0.243,0.986,7,-3.141,1,0.00255,0.122,0.908,0.563,165.682,225573,4
14,5RRLCCxCkXmxehxY4QtUwz,Samaritan Burden,Witchcraft,35,2007,False,0.626,0.654,4,-6.412,0,0.0856,0.167,0.139,0.355,123.342,387280,4
15,5ySISL5AcZ5uS5t7HtRVZh,Everglades,Mason Jennings,21,2016-03-18,False,0.518,0.57,5,-8.188,0,0.818,0.191,0.117,0.548,137.77,269911,4
16,2Yf3wwS48rkAoBRXNJ34kz,Hades Pleads,Parker Millsap,53,2016-03-25,False,0.568,0.632,9,-6.958,1,0.0245,0.000246,0.401,0.711,164.823,156107,4
17,6LuVwbsnUONZXctaySLuWi,I'm a Ram,Sean Costello,33,2005-01-25,False,0.795,0.54,11,-7.459,0,0.17,0.00823,0.123,0.487,79.948,231667,4
18,18buk3oWZf3OnwNeRV6f35,Cue,Papadosio,38,2012-09-17,False,0.639,0.675,4,-8.597,0,0.0667,0.539,0.367,0.511,110.052,517253,4
19,3ToCgxRsXnTMol9nB74YGw,World Go Round,STS9,41,2016-09-02,False,0.671,0.775,10,-7.866,0,0.00132,0.225,0.198,0.565,112.985,398650,4
20,05wB0mSpDASexc98oKZCOw,Bilgewater,Brown Bird,50,2011-10-18,False,0.568,0.317,2,-10.545,0,0.457,0.0195,0.107,0.761,113.429,226689,4
21,5Hyr3TiNACHvdViPV69Jat,Tangerine Speedo,Caviar,38,2000-01-01,True,0.569,0.968,2,-5.202,1,0.0148,0.0,0.0892,0.7,152.165,219733,4
22,0OsEL18FVGqanfJEKcQdKN,Magic,The Werks,27,2017-03-17,False,0.343,0.737,5,-6.451,0,0.0127,0.44,0.0869,0.264,168.05,351903,4
23,058Ywdf4hK33jddRmwO2kW,Blue Velvet,Nané,31,2020-11-13,False,0.69,0.924,4,-5.455,1,0.0581,0.00659,0.564,0.698,122.459,237521,4
24,460Wn6Dq2uMviG5nPXtPnb,Better Days (And the Bottom Drops Out),Citizen King,59,1999-02-26,False,0.758,0.896,9,-3.311,1,0.173,3.18e-05,0.136,0.797,94.911,207027,4
25,2ReEDFdJ5CkNOOda3bGi3P,Ultraviolet,King Tuff,33,2018-04-13,False,0.172,0.871,0,-6.698,1,1.63e-05,0.000243,0.353,0.471,147.337,262309,4
26,091vtbBzrMBwedmgTjr0nV,Callin' Baton Rouge,The Oak Ridge Boys,27,1978-01-01,False,0.614,0.374,2,-17.885,1,0.01,0.058,0.103,0.846,97.455,156080,4
27,3TkxGrRI4nwggeuEU5pFmp,She Got Me (When She Got Her Dress On),Masters Of Reality,41,1992-01-01,False,0.524,0.932,1,-7.06,1,5.35e-06,0.647,0.366,0.787,125.022,167467,4
