,id,title,album,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1L97sJbt0IkycnpF7MFuOt,Choctaw Bingo,Delirium Tremolos,Ray Wylie Hubbard,44,2005-01-25,False,0.643,0.66,9,-5.812,1,0.163,0.0,0.114,0.672,95.132,500373,4
1,3gUFcAz4TdQ2vA5CaNNw5e,Circle,Sister Sweetly,['Big Head Todd and The Monsters'],36,1993-02-23,False,0.525,0.728,9,-7.758,1,0.0141,0.000211,0.695,0.405,152.022,370467,4
2,3ik0n1seIu4TN1gNqBittF,Tennessee Mojo,The Cadillac Three,['The Cadillac Three'],38,2012-01-01,False,0.369,0.787,10,-5.195,0,0.0378,0.0,0.104,0.561,145.531,213320,4
3,76hAVkT4N7rh5BEyUVRvOM,Among the Ghosts,Among the Ghosts,['Lucero'],32,2018-08-03,False,0.356,0.604,11,-10.891,0,0.035,0.0929,0.183,0.42,140.685,246027,4
4,41uhnX4iXKPzXTYw0C6Qqp,Secrets in the Sunset,Community Inn,['Goodbye June'],49,2019-10-25,False,0.636,0.95,6,-3.394,1,0.0541,0.000391,0.0625,0.526,129.988,238880,4
5,5ZRgBA12LikIUPgTRoMUrJ,Mantra,Sound City - Real to Reel,"['Dave Grohl', 'Josh Homme', 'Trent Reznor']",46,2013-03-08,False,0.564,0.664,9,-6.604,1,0.0237,0.0144,0.103,0.899,123.953,463333,4
6,41DyUcEAiyVtNCrWElC32R,Wear You Out (feat. Billy Gibbons),Born To Play Guitar,"['Buddy Guy', 'Billy F Gibbons']",33,2015-07-31,False,0.436,0.891,10,-4.094,1,0.388,0.116,0.171,0.661,138.017,210333,4
7,7eP0W6JAnqv1yMRfnTqYYN,Soul Singing,Lions,['The Black Crowes'],25,2001-01-01,False,0.407,0.814,5,-8.432,1,0.00776,0.0,0.62,0.502,88.359,233693,4
8,4J00NkNGHF9PrhnhXzbJr9,I'm The One,Danzig II: Lucifuge,['Danzig'],41,1990-01-01,True,0.735,0.258,11,-13.344,0,0.748,0.00404,0.129,0.86,117.916,201667,4
9,33P0xVFGIPfCB2ZBCTGTY9,Weathered,Weathered,['Creed'],56,2001-01-01,False,0.417,0.935,7,-4.658,1,0.000968,4.18e-06,0.228,0.318,143.893,330240,4
