id,title,album,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1NXpT1tXpNw4GqRimZ52Jo,Mist And Shadow,High Country,"The Sword, J. Robbins",32,2015-08-21,False,0.368,0.576,8,-8.324,1,0.0107,0.173,0.173,0.254,117.651,327000,4
0yyQOpUfKMOg1JpFQi2reh,Unknown / Nth,Unknown / Nth,Hozier,65,2023-06-23,False,0.479,0.178,2,-9.98,1,0.76,0.000168,0.0897,0.21,134.856,280107,4
0CIvOZBEQmVtePr3dHZMPO,Two Against One (feat. Jack White),Rome,"Danger Mouse, Daniele Luppi, Jack White",56,2011-05-16,False,0.792,0.525,5,-7.985,0,0.782,0.0254,0.115,0.644,119.364,140960,4
2aQldLSaTVEf3fRSF9fUYt,Things I Do For Money,Big Blue Sky,The Northern Pikes,28,1987-01-01,False,0.768,0.443,4,-15.545,0,0.5,0.214,0.0647,0.214,116.95,288160,4
0VTwMCLdBYUw7MHR1NJW1t,Shine It All Around - 2006 Remaster,Mighty Rearranger,Robert Plant,43,2005-04-25,False,0.471,0.598,6,-8.227,0,0.0151,0.224,0.0933,0.449,80.381,243333,4
05rbTsgovBYa0JIund4MrS,Tearin' It Up,SB2,Gramatik,40,2009-12-09,False,0.843,0.889,9,-4.385,0,0.0965,0.115,0.0389,0.556,106.938,256438,4
0EUDWbDr6pU12TXLqLIxKK,Child in Time,Inspiration,Yngwie Malmsteen,20,1996-10-14,False,0.179,0.802,1,-9.43,1,0.0124,0.134,0.221,0.223,89.544,487654,4
5e6xW5g9FfbyyTPeIE2Uhs,Mistreated,Inspiration,Yngwie Malmsteen,20,1996-10-14,False,0.329,0.813,5,-7.726,0,0.000981,0.0098,0.0963,0.461,130.129,449985,4
3wewa5eAOjEFtlpoXAz4Kc,Darkness,The Sea Saint Sessions,Tab Benoit,40,2003-06-24,False,0.597,0.33,5,-11.152,0,0.83,0.129,0.24,0.576,78.772,279613,3
2wqBOYvyOpNVrXq7dOrln3,HELLO LØNELINESS,HELLO LØNELINESS,"Ekoh, Lø Spirit",52,2023-03-24,False,0.62,0.58,9,-7.808,0,0.0291,0.0,0.432,0.471,129.914,185880,4
2ipYQ6pcabz1NovVrr9LKH,Fighting Myself,Meteora 20th Anniversary Edition,Linkin Park,73,2023-04-07,False,0.626,0.909,1,-4.419,0,0.00205,5.19e-06,0.29,0.737,140.027,201429,4
1xpd5XqLsrQDBa81ON2kOb,Got You (Where I Want You),Holiday Man,The Flys,56,1998,False,0.47,0.644,8,-6.721,1,0.000405,0.293,0.134,0.521,75.597,242453,4
0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Into The Wild (Music For The Motion Picture),Eddie Vedder,66,2007-09-18,False,0.438,0.827,8,-6.531,1,0.0512,0.000402,0.319,0.645,143.377,322080,4
2XvrMHbSO077Ajg7QTTNdY,Let It Die,"Echoes, Silence, Patience & Grace",Foo Fighters,59,2007-09-25,False,0.596,0.557,0,-6.401,1,0.027,1.64e-05,0.0914,0.314,124.023,244960,4
6fR6Z0Vc1K6yQWNUIKjAIR,Underneath It All,Rock Steady (Expanded Edition),"No Doubt, Lady Saw",65,2001-12-11,False,0.729,0.731,4,-4.823,1,0.235,1.35e-06,0.391,0.838,138.204,302720,4
7mQgJx5mfCuI6o8elrYCKg,Electric Worry,From Beale Street to Oblivion,Clutch,53,2007,False,0.377,0.813,0,-4.231,1,0.0171,0.114,0.323,0.265,165.012,314747,4
3kmUtdRdVepftcOpjmbiyj,Wars,Goodbye To The Machine,Hurt,0,2009,False,0.468,0.723,2,-5.37,1,0.00176,5.4e-06,0.0852,0.493,129.563,239439,4
57slOAb10deMaT4r34dipH,Wade In The Water,HOME,John Butler Trio,33,2018-09-28,False,0.326,0.816,2,-2.166,1,0.0811,0.000379,0.101,0.299,147.185,239093,4
4pr2A1vgqaGJ1yj6hFr3aE,13,Roadhouse 01,Allan Rayman,48,2017-02-24,False,0.623,0.528,0,-9.078,1,0.055,0.0654,0.338,0.628,155.912,242307,3
6RuNa2kdO6HFq7QznOfl7C,Meeting The Master,Meeting The Master,Greta Van Fleet,57,2023-04-07,False,0.22,0.656,6,-3.929,1,0.121,0.00652,0.12,0.105,148.187,312200,4
2ph0hzV1kCVhR82E2La4q5,Two Out of Three Ain't Bad,Bat Out Of Hell,Meat Loaf,63,1977-10-21,False,0.586,0.48,9,-9.138,1,0.385,0.0,0.0947,0.488,79.873,324440,4
2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,Bat Out Of Hell,Meat Loaf,69,1977-10-21,False,0.326,0.872,2,-7.602,1,0.214,0.0,0.461,0.492,173.381,508333,4
391CwgcBxvUHmEKda2b5In,I'd Do Anything For Love (But I Won't Do That) - Single Edit,Bat Out Of Hell II: Back Into Hell,Meat Loaf,63,1993,False,0.419,0.672,2,-6.353,1,0.623,0.0,0.412,0.304,105.212,316467,4
0SjnBEHZVXgCKvOrpvzL2k,Sundown,Sundown,Gordon Lightfoot,73,1974,False,0.794,0.427,11,-15.492,1,0.334,1.04e-05,0.0703,0.751,105.732,213400,4
6GuyIXoGIaTw1Pg6Ug9enJ,Find Your People,Find Your People,Drew Holcomb & The Neighbors,55,2023-03-08,False,0.678,0.526,5,-7.292,1,0.329,0.0,0.302,0.492,87.005,194093,4
2YSgnpegXNXgk8UxgG8znT,Number One (feat. Richie Havens & Son Little),Woodstock,"Portugal. The Man, Richie Havens, Son Little",43,2017-06-16,False,0.486,0.504,8,-7.591,1,0.0453,0.00135,0.695,0.34,89.523,321947,4
5CJ1xQCFywhEryVUPJup5T,The Boy Who Wouldn't Hoe Corn,New Favorite,Alison Krauss & Union Station,41,2001-08-14,False,0.401,0.529,2,-8.927,0,0.501,0.00104,0.0921,0.249,106.72,280707,4
1oHAbFkMC4bwuK241O9Kw1,Busy Bein' born,No Name No Color,Middle Class Rut,39,2010-10-04,True,0.318,0.941,11,-3.753,1,0.036,5.08e-05,0.137,0.213,187.93,287413,4
7wygMtZZfWatJnD5NkPALn,Son of Virginia,Psychic Warfare,Clutch,32,2015-10-02,False,0.37,0.789,9,-7.734,1,0.14,0.00168,0.259,0.0909,75.634,435358,4
6txhb14PWs9yrkTgR2jnU4,72 Seasons,72 Seasons,Metallica,43,2023-03-30,False,0.193,0.983,9,-3.929,1,4.01e-05,0.0375,0.0645,0.385,168.193,459120,4
52YsO95wlDUHdv4mhHglAv,Psycho Killer,Black Buffalo,One Bad Son,34,2014-09-02,False,0.565,0.884,1,-5.115,1,8.44e-05,0.015,0.106,0.741,122.013,284696,4
7wzOqgMAX3w3zeqQL4j0dK,Tell Ya Story Walking,Guns Of Gold,The Fumes,31,2006,False,0.371,0.897,7,-5.0,1,0.00193,0.0119,0.328,0.641,105.45,409987,4
3eFepXGITXNDXXHUNqouxi,Shake Me Down,Thank You Happy Birthday,Cage The Elephant,53,2011-01-01,False,0.457,0.613,9,-5.756,1,0.00463,0.000406,0.0711,0.132,105.111,211373,4
5R1JHfdhT7zininQOdnAjq,Zero Fucks Given,Home Is a Heartache,The Picturebooks,36,2017-03-10,True,0.371,0.61,11,-7.279,0,0.0212,0.0673,0.0905,0.324,73.764,197493,4
3UysksDF63CoDnP6GUP4kw,Where The Wind Blows,Burn the Ships,Blacktop Mojo,49,2017-03-10,False,0.512,0.903,6,-2.974,1,5.55e-05,0.00165,0.0648,0.659,146.984,265082,4
1FxZTELBcsg6T4LkOlAi1R,More Bacon than the Pan Can Handle,Ghost of Vroom 1,"Ghost of Vroom, Mike Doughty, Andrew Livingston, Stephanie Beatriz",28,2021-03-18,False,0.538,0.772,5,-6.147,1,0.149,4.28e-05,0.263,0.269,91.397,202027,4
6CqYhhUPJORx1vvdTNc8jv,The Outsider,Thirteenth Step,A Perfect Circle,66,2003-01-01,False,0.328,0.843,6,-6.644,1,0.000111,0.801,0.0496,0.422,113.329,246000,4
69HjtjyHuP8KJT7xBaUmtW,If Darkness Had a Son,If Darkness Had a Son,Metallica,47,2023-03-01,False,0.47,0.945,9,-4.378,1,2.3e-05,0.00544,0.0399,0.379,123.398,396293,4
1BfR5GMOgW0peHkPxrwf11,Safari Song,From The Fires,Greta Van Fleet,70,2017-11-10,False,0.362,0.928,2,-4.015,1,0.164,1.61e-05,0.315,0.678,175.868,234600,4
1j3vsRJ9BBeUzyE83FfiVb,Ice Age - deadmau5 Remix,while(1<2),"How To Destroy Angels, deadmau5",30,2014-01-01,False,0.743,0.562,2,-7.458,1,0.588,0.0308,0.0966,0.776,146.061,411512,4
0qqRwBkq7oWv6QnIRLfQKe,Do You Feel Like We Do - Live,Frampton Comes Alive! (Deluxe Edition),Peter Frampton,53,1976,False,0.319,0.661,0,-8.548,1,0.0389,0.0039,0.886,0.325,106.189,826813,4
