,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6RUhbFEhrvGISaQ8u2j2JN,Dangerous Woman,Dangerous Woman,'Ariana Grande','pop',74,2016-05-20,False,0.664,0.602,4,-5.369,0,0.0529,0.0,0.356,0.289,134.049,235947,3
1,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Lover,'Taylor Swift','pop',99,2019-08-23,False,0.552,0.702,9,-5.707,1,0.117,2.06e-05,0.105,0.564,169.994,178427,4
2,1DqdF42leyFIzqNDv9CjId,Dynamite,Rokstarr,'Taio Cruz',"'dance pop', 'pop', 'pop rap'",74,2010-01-01,False,0.754,0.804,4,-3.177,1,0.00332,0.0,0.0329,0.818,119.968,203867,4
3,49gRYU6hBWgSH2JVixGkJq,Into You,Dangerous Woman,'Ariana Grande','pop',70,2016-05-20,False,0.623,0.734,9,-5.948,1,0.0162,1.75e-06,0.145,0.37,107.853,244440,4
4,32lItqlMi4LBhb4k0BaSaC,Candy Paint,beerbongs & bentleys,'Post Malone',"'dfw rap', 'melodic rap', 'pop', 'rap'",78,2018-04-27,True,0.664,0.667,4,-5.941,1,0.64,1.22e-06,0.0753,0.381,180.064,227533,4
5,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,AM,'Arctic Monkeys',"'garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie'",96,2013-09-09,False,0.464,0.417,0,-9.345,0,0.136,0.022,0.0974,0.479,67.528,183956,4
6,2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Sweetener,'Ariana Grande','pop',81,2018-08-17,False,0.699,0.713,9,-5.507,0,0.04,3.11e-06,0.294,0.354,121.993,205920,4
7,4yNk9iz9WVJikRFle3XEvn,golden hour,this is what falling in love feels like (554Hz),'JVKE',"'modern indie pop', 'pov: indie', 'singer-songwriter pop'",83,2022-10-03,False,0.515,0.593,4,-4.801,1,0.653,0.162,0.25,0.153,94.467,209260,3
8,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,"'The Weeknd', 'Daft Punk'","'canadian contemporary r&b', 'canadian pop', 'pop', 'electro', 'filter house', 'rock'",95,2016-11-25,True,0.679,0.587,7,-7.015,1,0.141,6.35e-06,0.137,0.486,186.003,230453,4
9,4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry's House,'Harry Styles','pop',95,2022-05-20,False,0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303,4
10,7DSAEUvxU8FajXtRloy8M0,Flowers,Endless Summer Vacation,'Miley Cyrus','pop',94,2023-08-18,False,0.706,0.691,0,-4.775,1,0.0584,6.99e-05,0.0232,0.632,118.048,200600,4
11,3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,'Coldplay',"'permanent wave', 'pop'",93,2000-07-10,False,0.429,0.661,11,-7.227,1,0.00239,0.000121,0.234,0.285,173.372,266773,4
12,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,I Love You.,'The Neighbourhood',"'modern alternative rock', 'modern rock', 'pop'",93,2013-04-19,False,0.612,0.807,10,-2.81,1,0.0495,0.0177,0.101,0.398,124.053,240400,4
13,1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,'Taylor Swift','pop',93,2019-08-23,False,0.359,0.543,7,-7.582,1,0.492,1.58e-05,0.118,0.453,68.534,221307,4
14,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),I'm Good (Blue),"'David Guetta', 'Bebe Rexha'","'big room', 'dance pop', 'edm', 'pop', 'pop dance', 'dance pop', 'pop'",92,2022-08-26,True,0.561,0.965,7,-3.673,0,0.00383,7.07e-06,0.371,0.304,128.04,175238,4
15,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,'The Weeknd',"'canadian contemporary r&b', 'canadian pop', 'pop'",93,2020-03-20,False,0.514,0.73,1,-5.934,1,0.00146,9.54e-05,0.0897,0.334,171.005,200040,4
16,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Flower Boy,"'Tyler, The Creator', 'Kali Uchis'","'hip hop', 'rap', 'colombian pop'",92,2017-07-21,True,0.558,0.559,6,-9.222,1,0.371,7.49e-06,0.109,0.62,78.558,180387,4
17,0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,Cigarettes After Sex,'Cigarettes After Sex',"'ambient pop', 'dream pop', 'el paso indie', 'shoegaze'",92,2017-06-09,False,0.37,0.467,5,-9.013,1,0.0205,0.572,0.109,0.182,94.485,290617,4
18,3xKsf9qdS1CyvXSMEid6g8,Pink + White,Blonde,'Frank Ocean',"'lgbtq+ hip hop', 'neo soul'",92,2016-08-20,False,0.545,0.545,9,-7.362,1,0.667,5.48e-05,0.417,0.549,159.94,184516,3
19,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Unorthodox Jukebox,'Bruno Mars',"'dance pop', 'pop'",92,2012-12-07,False,0.726,0.698,5,-4.165,1,0.049,0.0,0.309,0.867,143.994,233478,4
20,4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",'OneRepublic',"'piano rock', 'pop'",92,2022-05-13,False,0.704,0.797,0,-5.927,1,0.0826,0.000745,0.0546,0.825,139.994,148486,4
21,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,The Eminem Show,'Eminem',"'detroit hip hop', 'hip hop', 'rap'",92,2002-05-26,True,0.908,0.669,7,-2.827,1,0.00286,0.0,0.237,0.662,112.238,290320,4
22,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,Midnights,'Taylor Swift','pop',92,2022-10-21,False,0.637,0.643,4,-6.571,1,0.13,1.8e-06,0.142,0.533,97.008,200690,4
23,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,'Lewis Capaldi',"'pop', 'uk pop'",92,2019-05-17,False,0.501,0.405,1,-5.679,1,0.751,0.0,0.105,0.446,109.891,182161,4
24,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,"'Metro Boomin', 'The Weeknd', '21 Savage'","'hip hop', 'rap', 'canadian contemporary r&b', 'canadian pop', 'pop', 'atl hip hop', 'hip hop', 'rap'",91,2022-12-02,True,0.715,0.62,1,-6.005,0,0.417,0.0,0.0822,0.172,97.95,221520,4
25,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Unorthodox Jukebox,'Bruno Mars',"'dance pop', 'pop'",91,2012-12-07,False,0.612,0.28,0,-8.648,1,0.932,0.0,0.088,0.387,72.795,213827,4
26,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,2014 Forest Hills Drive,'J. Cole',"'conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap'",91,2014-12-09,True,0.69,0.521,10,-8.492,0,0.324,0.0,0.0534,0.494,100.028,292799,4
27,1zi7xx7UVEFkmKfv06H8x0,One Dance,Views,"'Drake', 'Wizkid', 'Kyla'","'canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop', 'uk funky'",91,2016-05-06,False,0.792,0.625,1,-5.609,1,0.00776,0.0018,0.329,0.37,103.967,173987,4
28,0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),lovely (with Khalid),"'Billie Eilish', 'Khalid'","'art pop', 'pop', 'pop', 'pop r&b'",91,2018-04-19,False,0.351,0.296,4,-10.109,0,0.934,0.0,0.095,0.12,115.284,200186,4
29,4EWCNWgDS8707fNSZ1oaA5,Heartless,808s & Heartbreak,'Kanye West',"'chicago rap', 'hip hop', 'rap'",91,2008-11-24,False,0.79,0.647,10,-5.983,0,0.0515,0.0,0.248,0.654,87.999,211000,4
