Album Type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_number,album_name,short_album_name,release_date,album_id
Studio,0.692,0.756,7,-9.677,1,0.0402,0.0356,8.8e-05,0.219,0.826,109.111,2CEujT1Tuv3jIIjUyUvupg,spotify:track:2CEujT1Tuv3jIIjUyUvupg,https://api.spotify.com/v1/tracks/2CEujT1Tuv3jIIjUyUvupg,https://api.spotify.com/v1/audio-analysis/2CEujT1Tuv3jIIjUyUvupg,216480,4,Two Of Us - 2021 Mix,1,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.461,0.5,11,-8.023,0,0.0478,0.183,9.94e-06,0.209,0.393,118.377,5pbQlOzqzTacF4wbzmWEeA,spotify:track:5pbQlOzqzTacF4wbzmWEeA,https://api.spotify.com/v1/tracks/5pbQlOzqzTacF4wbzmWEeA,https://api.spotify.com/v1/audio-analysis/5pbQlOzqzTacF4wbzmWEeA,234760,3,Dig A Pony - 2021 Mix,2,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.414,0.467,1,-9.189,1,0.027,0.552,2.28e-05,0.0779,0.752,76.148,47q5q2VZ0y264CNDdUAjZY,spotify:track:47q5q2VZ0y264CNDdUAjZY,https://api.spotify.com/v1/tracks/47q5q2VZ0y264CNDdUAjZY,https://api.spotify.com/v1/audio-analysis/47q5q2VZ0y264CNDdUAjZY,228093,4,Across The Universe - 2021 Mix,3,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.423,0.587,4,-8.14,0,0.0415,0.14,0,0.118,0.575,128.47,5sFSXKwsf1KvKpZngwVtlI,spotify:track:5sFSXKwsf1KvKpZngwVtlI,https://api.spotify.com/v1/tracks/5sFSXKwsf1KvKpZngwVtlI,https://api.spotify.com/v1/audio-analysis/5sFSXKwsf1KvKpZngwVtlI,145053,4,I Me Mine - 2021 Mix,4,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.519,0.564,5,-9.868,1,0.0742,0.452,0.00486,0.273,0.795,155.067,211vMasdcN1n4Xy4ci76Eq,spotify:track:211vMasdcN1n4Xy4ci76Eq,https://api.spotify.com/v1/tracks/211vMasdcN1n4Xy4ci76Eq,https://api.spotify.com/v1/audio-analysis/211vMasdcN1n4Xy4ci76Eq,50653,3,Dig It - 2021 Mix,5,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.407,0.413,0,-8.129,1,0.0302,0.332,4.49e-06,0.107,0.556,144.338,4r797jYkY09ilTg5SMCTnu,spotify:track:4r797jYkY09ilTg5SMCTnu,https://api.spotify.com/v1/tracks/4r797jYkY09ilTg5SMCTnu,https://api.spotify.com/v1/audio-analysis/4r797jYkY09ilTg5SMCTnu,243173,4,Let It Be - 2021 Mix,6,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.525,0.627,7,-8.052,1,0.237,0.247,0,0.124,0.76,169.081,6A0igdiVHc0Tftp9jDb5UU,spotify:track:6A0igdiVHc0Tftp9jDb5UU,https://api.spotify.com/v1/tracks/6A0igdiVHc0Tftp9jDb5UU,https://api.spotify.com/v1/audio-analysis/6A0igdiVHc0Tftp9jDb5UU,40213,4,Maggie Mae - 2021 Mix,7,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.413,0.722,2,-7.463,1,0.0468,0.11,6.04e-06,0.151,0.382,165.614,4zCMgTJ4h916qOHgu1JyAL,spotify:track:4zCMgTJ4h916qOHgu1JyAL,https://api.spotify.com/v1/tracks/4zCMgTJ4h916qOHgu1JyAL,https://api.spotify.com/v1/audio-analysis/4zCMgTJ4h916qOHgu1JyAL,217547,4,I've Got A Feeling - 2021 Mix,8,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.545,0.956,4,-5.549,1,0.116,0.0632,0,0.63,0.776,90.782,6z5yUc4pks98Lo6YaMraq0,spotify:track:6z5yUc4pks98Lo6YaMraq0,https://api.spotify.com/v1/tracks/6z5yUc4pks98Lo6YaMraq0,https://api.spotify.com/v1/audio-analysis/6z5yUc4pks98Lo6YaMraq0,174013,4,One After 909 - 2021 Mix,9,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
Studio,0.314,0.379,3,-10.028,1,0.0271,0.82,0.00202,0.0852,0.319,66.436,4r1AmkTzmi35mAFc3nsG3r,spotify:track:4r1AmkTzmi35mAFc3nsG3r,https://api.spotify.com/v1/tracks/4r1AmkTzmi35mAFc3nsG3r,https://api.spotify.com/v1/audio-analysis/4r1AmkTzmi35mAFc3nsG3r,217600,4,The Long And Winding Road - 2021 Mix,10,Let It Be (Super Deluxe),Let It Be,10/15/2021,1BdxbYp1FaNejpDgtDo25V
