Edition,Rank,Artist,Song,songid,Released
2004,1,Bob Dylan,Like a Rolling Stone,Like a Rolling StoneBob Dylan,1965
2004,2,The Rolling Stones,(I Can't Get No) Satisfaction,(I Can't Get No) SatisfactionThe Rolling Stones,1985
2004,3,John Lennon,Imagine,ImagineJohn Lennon,1971
2004,4,Marvin Gaye,What's Going On,What's Going OnMarvin Gaye,1971
2004,5,Aretha Franklin,Respect,RespectAretha Franklin,1967
2004,6,The Beach Boys,Good Vibrations,Good VibrationsThe Beach Boys,1966
2004,7,Chuck Berry,Johnny B. Goode,Johnny B. GoodeChuck Berry,1958
2004,8,The Beatles,Hey Jude,Hey JudeThe Beatles,1969
2004,9,Nirvana,Smells Like Teen Spirit,Smells Like Teen SpiritNirvana,1991
2004,10,Ray Charles,What'd I Say,What'd I SayRay Charles,1959
2004,11,The Who,My Generation,My GenerationThe Who,1966
2004,12,Sam Cooke,A Change Is Gonna Come,A Change Is Gonna ComeSam Cooke,1960
2004,13,The Beatles,Yesterday,YesterdayThe Beatles,1966
2004,14,Bob Dylan,Blowin' in the Wind,Blowin' in the WindBob Dylan,1967
2004,15,The Clash,London Calling,London CallingThe Clash,1979
2004,16,The Beatles,I Want to Hold Your Hand,I Want to Hold Your HandThe Beatles,1966
2004,17,Jimi Hendrix,Purple Haze,Purple HazeJimi Hendrix,1968
2004,18,Chuck Berry,Maybellene,MaybelleneChuck Berry,1955
2004,19,Elvis Presley,Hound Dog,Hound DogElvis Presley,1956
2004,20,The Beatles,Let It Be,Let It BeThe Beatles,1969
2004,21,Bruce Springsteen,Born to Run,Born to RunBruce Springsteen,1975
2004,22,The Ronettes,Be My Baby,Be My BabyThe Ronettes,1963
2004,23,The Beatles,In My Life,In My LifeThe Beatles,1966
2004,24,The Impressions,People Get Ready,People Get ReadyThe Impressions,2003
2004,25,The Beach Boys,God Only Knows,God Only KnowsThe Beach Boys,1966
2004,26,The Beatles,A Day in the Life,A Day in the LifeThe Beatles,1969
2004,27,Derek & The Dominos,Layla,LaylaDerek & The Dominos,1972
2004,28,Otis Redding,(Sittin' On) the Dock of the Bay,(Sittin' On) the Dock of the BayOtis Redding,1968
2004,29,The Beatles,Help!,Help!The Beatles,1966
2004,30,Johnny Cash,I Walk the Line,I Walk the LineJohnny Cash,1956
2004,31,Led Zeppelin,Stairway to Heaven,Stairway to HeavenLed Zeppelin,1971
2004,32,The Rolling Stones,Sympathy for the Devil,Sympathy for the DevilThe Rolling Stones,1968
2004,33,Tina Turner,River Deep - Mountain High,River Deep - Mountain HighTina Turner,1991
2004,34,The Righteous Brothers,You've Lost That Lovin' Feelin',You've Lost That Lovin' Feelin'The Righteous Brothers,1964
2004,35,The Doors,Light My Fire,Light My FireThe Doors,1967
2004,36,U2,One,OneU2,1992
2004,37,Bob Marley and the Wailers,No Woman No Cry,No Woman No CryBob Marley and the Wailers,1974
2004,38,The Rolling Stones,Gimme Shelter,Gimme ShelterThe Rolling Stones,1969
2004,39,Buddy Holly,That'll Be the Day,That'll Be the DayBuddy Holly,1957
2004,40,Martha Reeves & The Vandellas,Dancing in the Street,Dancing in the StreetMartha Reeves & The Vandellas,1964
2004,41,The Band,The Weight,The WeightThe Band,1968
2004,42,The Kinks,Waterloo Sunset,Waterloo SunsetThe Kinks,1967
2004,43,Little Richard,Tutti-Frutti,Tutti-FruttiLittle Richard,1956
2004,44,Ray Charles,Georgia on My Mind,Georgia on My MindRay Charles,1960
2004,45,Elvis Presley,Heartbreak Hotel,Heartbreak HotelElvis Presley,1956
2004,46,David Bowie,Heroes,HeroesDavid Bowie,1998
2004,47,Simon & Garfunkel,Bridge Over Troubled Water,Bridge Over Troubled WaterSimon & Garfunkel,1970
2004,48,Jimi Hendrix,All Along the Watchtower,All Along the WatchtowerJimi Hendrix,1968
2004,49,The Eagles,Hotel California,Hotel CaliforniaThe Eagles,1977
2004,50,Smokey Robinson and the Miracles,Tracks of My Tears,Tracks of My TearsSmokey Robinson and the Miracles,1965
2004,51,Grandmaster Flash & Melle Mel,The Message,The MessageGrandmaster Flash & Melle Mel,1981
2004,52,Prince,When Doves Cry,When Doves CryPrince,1984
2004,53,The Sex Pistols,Anarchy in the U.K.,Anarchy in the U.K.The Sex Pistols,1977
2004,54,Percy Sledge,When a Man Loves a Woman,When a Man Loves a WomanPercy Sledge,1966
2004,55,The Kingsmen,Louie Louie,Louie LouieThe Kingsmen,1963
2004,56,Little Richard,Long Tall Sally,Long Tall SallyLittle Richard,1956
2004,57,Procol Harum,A Whiter Shade of Pale,A Whiter Shade of PaleProcol Harum,1967
2004,58,Michael Jackson,Billie Jean,Billie JeanMichael Jackson,1983
2004,59,Bob Dylan,The Times They Are A-Changin,The Times They Are A-ChanginBob Dylan,1967
2004,60,Al Green,Let's Stay Together,Let's Stay TogetherAl Green,1971
2004,61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,Whole Lotta Shakin' Going OnJerry Lee Lewis,1957
2004,62,Bo Diddley,Bo Diddley,Bo DiddleyBo Diddley,1957
2004,63,Buffalo Springfield,For What It's Worth,For What It's WorthBuffalo Springfield,1967
2004,64,The Beatles,She Loves You,She Loves YouThe Beatles,1966
2004,65,Cream,Sunshine of Your Love,Sunshine of Your LoveCream,1968
2004,66,Bob Marley and the Wailers,Redemption Song,Redemption SongBob Marley and the Wailers,1980
2004,67,Elvis Presley,Jailhouse Rock,Jailhouse RockElvis Presley,1957
2004,68,Bob Dylan,Tangled Up in Blue,Tangled Up in BlueBob Dylan,1994
2004,69,Roy Orbison,Crying,CryingRoy Orbison,2006
2004,70,Dionne Warwick,Walk on By,Walk on ByDionne Warwick,1964
2004,71,The Beach Boys,California Girls,California GirlsThe Beach Boys,1965
2004,72,James Brown,Papa's Got A Brand New Bag,Papa's Got A Brand New BagJames Brown,1965
2004,73,Eddie Cochran,Summertime Blues,Summertime BluesEddie Cochran,1970
2004,74,Stevie Wonder,Superstition,SuperstitionStevie Wonder,1972
2004,75,Led Zeppelin,Whole Lotta Love,Whole Lotta LoveLed Zeppelin,1969
2004,76,The Beatles,Strawberry Fields Forever,Strawberry Fields ForeverThe Beatles,1969
2004,77,Elvis Presley,Mystery Train,Mystery TrainElvis Presley,2000
2004,78,James Brown,I Got You,I Got YouJames Brown,1965
2004,79,The Byrds,Mr. Tambourine Man,Mr. Tambourine ManThe Byrds,1965
2004,80,Marvin Gaye,I Heard It Through the Grapevine,I Heard It Through the GrapevineMarvin Gaye,1968
2004,81,Fats Domino,Blueberry Hill,Blueberry HillFats Domino,1956
2004,82,The Kinks,You Really Got Me,You Really Got MeThe Kinks,1964
2004,83,The Beatles,Norwegian Wood (This Bird Has Flown),Norwegian Wood (This Bird Has Flown)The Beatles,1966
2004,84,The Police,Every Breath You Take,Every Breath You TakeThe Police,1983
2004,85,Patsy Cline,Crazy,CrazyPatsy Cline,1961
2004,86,Bruce Springsteen,Thunder Road,Thunder RoadBruce Springsteen,1975
2004,87,Johnny Cash,Ring of Fire,Ring of FireJohnny Cash,1963
2004,88,The Temptations,My Girl,My GirlThe Temptations,1965
2004,89,The Mamas and the Papas,California Dreamin',California Dreamin'The Mamas and the Papas,1966
2004,90,The Five Satins,In the Still of the Night,In the Still of the NightThe Five Satins,1956
2004,91,Elvis Presley,Suspicious Minds,Suspicious MindsElvis Presley,1969
2004,92,Ramones,Blitzkrieg Bop,Blitzkrieg BopRamones,1976
2004,93,U2,I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking ForU2,1987
2004,94,Little Richard,"Good Golly, Miss Molly","Good Golly, Miss MollyLittle Richard",1958
2004,95,Carl Perkins,Blue Suede Shoes,Blue Suede ShoesCarl Perkins,1956
2004,96,Jerry Lee Lewis,Great Balls of Fire,Great Balls of FireJerry Lee Lewis,1957
2004,97,Chuck Berry,Roll Over Beethoven,Roll Over BeethovenChuck Berry,1959
2004,98,Al Green,Love and Happiness,Love and HappinessAl Green,1972
2004,99,Creedence Clearwater Revival,Fortunate Son,Fortunate SonCreedence Clearwater Revival,1969
2004,100,The Rolling Stones,You Can't Always Get What You Want,You Can't Always Get What You WantThe Rolling Stones,1969
2004,101,Jimi Hendrix,Voodoo Child (Slight Return),Voodoo Child (Slight Return)Jimi Hendrix,1993
2004,102,Gene Vincent and His Blue Caps,Be-Bop-A-Lula,Be-Bop-A-LulaGene Vincent and His Blue Caps,1956
2004,103,Donna Summer,Hot Stuff,Hot StuffDonna Summer,1979
2004,104,Stevie Wonder,Living for the City,Living for the CityStevie Wonder,1973
2004,105,Simon & Garfunkel,The Boxer,The BoxerSimon & Garfunkel,1969
2004,106,Bob Dylan,Mr. Tambourine Man,Mr. Tambourine ManBob Dylan,1967
2004,107,Buddy Holly,Not Fade Away,Not Fade AwayBuddy Holly,1999
2004,108,Prince,Little Red Corvette,Little Red CorvettePrince,1983
2004,109,Van Morrison,Brown Eyed Girl,Brown Eyed GirlVan Morrison,1967
2004,110,Otis Redding,I've Been Loving You Too Long (To Stop Now),I've Been Loving You Too Long (To Stop Now)Otis Redding,1965
2004,111,Hank Williams,I'm So Lonesome I Could Cry,I'm So Lonesome I Could CryHank Williams,1970
2004,112,Elvis Presley,That's All Right,That's All RightElvis Presley,2000
2004,113,The Drifters,Up on the Roof,Up on the RoofThe Drifters,1962
2004,114,The Crystals,Da Doo Ron Ron,Da Doo Ron RonThe Crystals,1992
2004,115,Sam Cooke,You Send Me,You Send MeSam Cooke,1957
2004,116,The Rolling Stones,Honky Tonk Woman,Honky Tonk WomanThe Rolling Stones,1969
2004,117,Al Green,Take Me to the River,Take Me to the RiverAl Green,1974
2004,118,The Isley Brothers,Shout,ShoutThe Isley Brothers,1960
2004,119,Fleetwood Mac,Go Your Own Way,Go Your Own WayFleetwood Mac,1977
2004,120,The Jackson 5,I Want You Back,I Want You BackThe Jackson 5,1969
2004,121,Ben E. King,Stand by Me,Stand by MeBen E. King,1961
2004,122,The Animals,House of the Rising Sun,House of the Rising SunThe Animals,1964
2004,123,James Brown,It's a Man's Man's Man's World,It's a Man's Man's Man's WorldJames Brown,1991
2004,124,The Rolling Stones,Jumpin' Jack Flash,Jumpin' Jack FlashThe Rolling Stones,1968
2004,125,The Shirelles,Will You Love Me Tomorrow,Will You Love Me TomorrowThe Shirelles,1961
2004,126,Big Joe Turner,"Shake, Rattle & Roll","Shake, Rattle & RollBig Joe Turner",1954
2004,127,David Bowie,Changes,ChangesDavid Bowie,1972
2004,128,Chuck Berry,Rock & Roll Music,Rock & Roll MusicChuck Berry,1957
2004,129,Steppenwolf,Born to Be Wild,Born to Be WildSteppenwolf,1968
2004,130,Rod Stewart,Maggie May,Maggie MayRod Stewart,1971
2004,131,U2,With or Without You,With or Without YouU2,1987
2004,132,Bo Diddley,Who Do You Love?,Who Do You Love?Bo Diddley,1957
2004,133,The Who,Won't Get Fooled Again,Won't Get Fooled AgainThe Who,1971
2004,134,Wilson Pickett,In the Midnight Hour,In the Midnight HourWilson Pickett,1965
2004,135,The Beatles,While My Guitar Gently Weeps,While My Guitar Gently WeepsThe Beatles,1969
2004,136,Elton John,Your Song,Your SongElton John,1970
2004,137,The Beatles,Eleanor Rigby,Eleanor RigbyThe Beatles,1966
2004,138,Sly & The Family Stone,Family Affair,Family AffairSly & The Family Stone,1971
2004,139,The Beatles,I Saw Her Standing There,I Saw Her Standing ThereThe Beatles,1963
2004,140,Led Zeppelin,Kashmir,KashmirLed Zeppelin,1990
2004,141,Everly Brothers,All I Have to Do Is Dream,All I Have to Do Is DreamEverly Brothers,1958
2004,142,James Brown,"Please, Please, Please","Please, Please, PleaseJames Brown",1991
2004,143,Prince,Purple Rain,Purple RainPrince,1984
2004,144,Ramones,I Wanna Be Sedated,I Wanna Be SedatedRamones,1980
2004,145,Sly & The Family Stone,Everyday People,Everyday PeopleSly & The Family Stone,1969
2004,146,The B-52's,Rock Lobster,Rock LobsterThe B-52's,1979
2004,147,Iggy Pop,Lust for Life,Lust for LifeIggy Pop,1977
2004,148,Janis Joplin,Me And Bobby McGee,Me And Bobby McGeeJanis Joplin,1973
2004,149,Everly Brothers,Cathy's Clown,Cathy's ClownEverly Brothers,1960
2004,150,The Byrds,Eight Miles High,Eight Miles HighThe Byrds,1966
2004,151,The Penguins,Earth Angel,Earth AngelThe Penguins,1955
2004,152,Jimi Hendrix,Foxey Lady,Foxey LadyJimi Hendrix,1968
2004,153,The Beatles,A Hard Day's Night,A Hard Day's NightThe Beatles,1966
2004,154,Buddy Holly,Rave On,Rave OnBuddy Holly,1958
2004,155,Creedence Clearwater Revival,Proud Mary,Proud MaryCreedence Clearwater Revival,1968
2004,156,Simon & Garfunkel,The Sounds of Silence,The Sounds of SilenceSimon & Garfunkel,1965
2004,157,The Flamingos,I Only Have Eyes for You,I Only Have Eyes for YouThe Flamingos,1959
2004,158,Bill Haley and His Comets,(We're Gonna) Rock Around the Clock,(We're Gonna) Rock Around the ClockBill Haley and His Comets,1955
2004,159,The Velvet Underground,I'm Waiting for the Man,I'm Waiting for the ManThe Velvet Underground,2005
2004,160,Public Enemy,Bring the Noise,Bring the NoisePublic Enemy,2005
2004,161,Ray Charles,I Can't Stop Loving You,I Can't Stop Loving YouRay Charles,1962
