Episode Index,Episode Id,Episode Length (ms),Episode Minutes,Episode Seconds,Episode Date,Episode Name,Episode Description,Track ID,Song,Performer,Track Popularity,Track Release Date,Explicit,Danceability,Energy,Key,Loudness,Mode,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track Duration (ms),Track Minutes,Track Seconds,Time Signature
1,5zh13ac7VrRoh9XiktCyli,1381343,23,1,1/26/2022,Franz Ferdinand - Take Me Out,"The band Franz Ferdinand formed in 2002, in Glasgow, Scotland. They’ve won the Mercury Prize and two BRIT Awards, they have five Grammy nominations, and they’ve sold millions of albums. One of their first singles is this song, “Take Me Out,” and it’s also their biggest hit. In this episode, singer and guitarist Alex Kapranos tells the story of how he and his bandmates made the song, from the original home demo to the final studio recording.  To learn more, visit songexploder.net/franz-ferdinand.",,,,,,,,,,,,,,,,,,,,
2,45UhDR9oE1bWhnVteuFpUl,1278890,21,18,1/12/2022,Joy Oladokun - Look Up,"Joy Oladokun is a singer and songwriter from Arizona, now based in Nashville, who’s been releasing music since 2015. Last year, she was named an Artist to Watch by NPR, Spotify, and Amazon, and she was #1 on Vogue’s list of New LGBTQ Artists To Listen to Now. She put out her third album, In Defense of My Own Happiness, in June 2021. It includes the song “Look Up.” For that track, she worked with Grammy-nominated songwriter and producer Dave Bassett, and while they were working and talking, they recorded a couple long voice memos. Joy sent me those voice memos, and in this episode, in addition to the stems of the recording, and Joy’s story about how it was made, you’ll hear the actual moments in late 2019 when the song was first coming together. Joy explains how the song was inspired by the different, and maybe opposite ways that she and her partner see the world.  For more, visit songexploder.net/joy-oladokun.",0oEji7lz6paMOdk97XEK4Z,look up,joy oladokun,66,6/4/2021,0,0.446,0.295,0,-9.711,1,0.829,0,0.14,0.197,119.931,213933,3,33,3
3,5o2h5gF00cdAG1GidmEgxo,1240308,20,40,12/15/2021,Danny Elfman - What’s This? (from “The Nightmare Before Christmas”),"Tim Burton’s The Nightmare Before Christmas came out in 1993. It’s a stop-motion animated musical, with music by legendary composer Danny Elfman. He’s won Emmys, a Grammy, and been nominated for four Oscars. His work includes the music for Tim Burton’s Batman films, Sam Raimi’s Spider-Man films, Good Will Hunting, and the theme to The Simpsons. From 1979 to 1995, he was the singer and songwriter in the band Oingo Boingo.   The Nightmare Before Christmas takes place in a world where different holidays all have their own realm. And the story is about Jack Skellington, the leader of Halloweentown, a place where it’s always Halloween, and Halloween is all they know, and Jack has grown a little tired of it. But then, Jack discovers a portal to Christmastown, with snow and Santa and all things Christmas inhabiting it. He's never seen anything like it, and the discovery changes everything. The song ""What’s This?"" takes place in that moment of discovery. In this episode, Danny Elfman tells the story of how it all came together, and how writing and singing this song for Jack Skellington ended up profoundly connecting to his own life.  For more, visit songexploder.net/danny-elfman.",3fytQQcjEOWXlvI9BDXVcK,what's this?,danny elfman,57,1/1/2006,0,0.518,0.473,5,-10.907,1,0.818,1.44e-05,0.126,0.501,81.486,185573,3,5,3
4,3a63q4nY2VcP6V2ZyHXKPq,1077669,17,57,12/1/2021,Halsey - You Asked for This,"Halsey is an award-winning singer and songwriter from New Jersey. She's been nominated for two Grammys, and sold over a million records. In August, she released her fourth album, If I Can't Have Love, I Want Power, which was produced by the Grammy and Oscar winning duo of Trent Reznor and Atticus Ross from Nine Inch Nails. Halsey wrote one of the songs on the album, ""You Asked for This,"" with Greg Kurstin, who’s won 8 Grammys himself, including Producer of the Year. In this episode, Halsey tells the story of making this song while pregnant with her son, and how that shaped the lyrics and the music.  For more, visit songexploder.net/halsey.",1JbS3r3gT4pK5qWBEShIJU,you asked for this,halsey,61,8/27/2021,1,0.303,0.812,11,-4.95,0,0.0115,0,0.371,0.168,139.052,265520,4,25,4
5,4K6HN4X9JjKpzRHg1C5WKk,1831824,30,31,11/17/2021,Hans Zimmer - Dune,"The movie Dune was released on October 21. It's the most recent adaptation of Frank Herbert's epic science fiction novel from 1965. The film was directed by Denis Villeneuve, and the score was written by Oscar-winning composer Hans Zimmer. Hans Zimmer has scored over 200 films, been nominated for Oscars eleven times. He and Denis Villeneuve first worked together on the film Blade Runner 2049. Dune tells the story of the Atreides family as they relocate from their home world to the desert planet Arrakis. When Hans Zimmer first started working on the music, he made what he calls a ""sketchbook"" – creating motifs and themes that might occur in the film. And in this episode, he takes us through the first sketch he did for Dune. It’s called ""Paul's Dream.""  For more, visit songexploder.net/dune.",1Qr17u2S9kNDzTeWAJCY5N,paul's dream,hans zimmer,57,9/3/2021,0,0.184,0.222,7,-12.428,1,0.00494,0.776,0.093,0.0356,114.592,423310,7,3,3
6,6g6I1UncCsR8SCUPlgMDSJ,1535099,25,35,11/3/2021,The War On Drugs - I Don't Live Here Anymore (feat. Lucius),"The War on Drugs is a band from Philadelphia who formed in 2005. They won the Grammy for Best Rock Album in 2018. This year, they put out their fifth album, I Don’t Live Here Anymore. Adam Granduciel is the singer and lead guitarist in the band, and I talked to him at his recording space here in Los Angeles. In this episode, Adam breaks down the title track from I Don’t Live Here Anymore, from the original demo to the version that was hammered out after months of work. And he explains how the song was influenced by Bob Dylan and his own newborn son.  To learn more, visit songexploder.net/the-war-on-drugs.",3h2CkNuAKSxZXWGElwcOvH,i don't live here anymore (feat. lucius),lucius,59,9/15/2021,0,0.476,0.867,5,-3.982,1,0.00327,3.42e-06,0.0962,0.466,110.026,327547,5,27,4
7,30YI8rJteZSfqF3yMr5O9T,1095145,18,15,10/20/2021,Willow - Transparent Soul feat. Travis Barker,"Willow Smith is a singer and songwriter from Los Angeles. She’s also a member of one of the most famous families in the world. From a very young age, she followed in the musical footsteps of her parents, Will Smith and Jada Pinkett-Smith, and released her first single when she was just ten years old. Since then, she’s released four albums, and was named one of TIME Magazine’s 100 Most influential people in the world. This year, on her most recent album, she put out this song, ""Transparent Soul,"" which was co-written with her longtime collaborator Tyler Cole, and features Travis Barker from Blink-182 on drums. I talked to her about how her upbringing and her musical evolution from her early pop star days influenced the way she made this song.  For more, visit songexploder.net/willow",1QL7nSDZCwZMnbisV4KOXt,t r a n s p a r e n t s o u l feat. travis barker,travis barker,77,4/27/2021,1,0.39,0.83,11,-5.201,0,0.0021,0,0.156,0.191,90.021,168030,2,48,4
8,6PO0zCp6MTedXAMB1QhILO,1021010,17,1,10/13/2021,Hrishikesh Hirway TED Talk - What You Learn When You Listen Closely,"This summer, I gave a TED Talk at the TED Conference. My talk was about what you discover when you really listen. It was based on how making Song Exploder has changed the way I think about conversations and connecting with people. My talk came out today on the TED website and on the TED Talks Daily podcast, and the very nice folks at TED asked if I would also put the audio of the talk here, on Song Exploder. And I normally wouldn’t put this much of myself on here, but they asked, and like I said, they were very nice. I hope this isn’t too meta, to talk about the show, and what I get out of making it. But it also features some music, including beautiful cello played by Yo-Yo Ma, so there’s that to look forward to. Here it is, my TED Talk on what you learn when you listen closely.  To listen to my song with Yo-Yo Ma, visit https://ffm.to/betweenthereandhere.  For more, visit songexploder.net/ted.",,,,,,,,,,,,,,,,,,,,
9,019cX5MsviJ9aodyRNXg8Y,1621800,27,1,10/6/2021,John Lennon - God,"Earlier this year, I got an amazing email—the estate of John Lennon said that they have a treasure trove of audio material from his life, and they were wondering if I would be interested in making an episode around the song “God,” from John Lennon’s first solo album. I’ve never tried making a posthumous episode before, because hearing directly from the artist is at the heart of Song Exploder. But with all the interview archives that they have of him speaking, plus all the isolated tracks from the recordings, and the original demo, it actually seemed possible. So this is a very different and special episode of the show.  In September 1969, John Lennon told the rest of the Beatles that he was leaving the group. Their breakup was announced publicly in April 1970, and that December, John Lennon released his first solo album, John Lennon/Plastic Ono Band. The Plastic Ono band was the name for a rotating group of musicians that John and his wife, the artist Yoko Ono, had put together. For the making of “God,” the band included Ringo Starr on drums, Billy Preston on piano, and Klaus Voormann on bass. I got to interview Klaus Voormann about his experiences making this track, and in this episode, you’ll hear from him along with the archival interviews with John Lennon, Ringo Starr, and Billy Preston. You’ll also hear the original demo for “God,” and outtakes from the recording sessions at Abbey Road studios. They recorded the final version of this song on October 9, 1970—John Lennon’s 30th birthday.  Archival audio sources: - John Lennon's audio was excerpted from an interview with Rolling Stone's Jann S. Wenner, recorded on December 8, 1970. The full interview can be found here. With grateful thanks to Jann S. Wenner for his permission and collaboration.  - Arthur Janov and Billy Preston's quotes came from interviews conducted in 2005 owned by Yoko Ono Lennon. With grateful thanks to Yoko Ono Lennon for her permission and collaboration.  - Ringo Starr's audio came from the 2008 Classic Albums documentary on John Lennon / Plastic Ono Band, directed by Matthew Longfellow. With grateful thanks to Ringo Starr for his permission and collaboration.  For more, visit songexploder.net/john-lennon.",7kipZd4tWx6Mu8kBgB2Z2r,god - remastered 2010,john lennon,51,12/11/1970,0,0.64,0.269,4,-13.435,0,0.231,0.00276,0.116,0.178,112.801,252773,4,12,3
10,2LYePTQGJOKhXXjHm4PSBs,1577810,26,17,9/22/2021,Lucy Dacus - Thumbs,"Lucy Dacus is a singer and songwriter from Richmond, Virginia. She put out her first album in 2016, and in 2018 she formed the band boygenius with Julien Baker and Phoebe Bridgers. In June 2021, she released her third album, Home Video, which includes the song ""Thumbs."" The first time I heard it, I knew I wanted to ask Lucy about how and why she made it. After some COVID testing, we spoke in person here in Los Angeles. And she told me the story of how ""Thumbs"" took months and months to get right.  For more, visit songexploder.net/lucy-dacus.",0KdYYVq1c2kvy69RjczLeX,thumbs,lucy dacus,52,6/25/2021,1,0.474,0.0964,7,-15.87,0,0.961,0,0.134,0.272,97.595,265440,4,25,4
