Team,Category,Grade,GPA
Arizona Cardinals,Treatment of Families,D+,1.3
Arizona Cardinals,Home Game Field,B,3.0
Arizona Cardinals,Food/Dining Area,C-,1.7
Arizona Cardinals,Nutritionist/Dietician,B,3.0
Arizona Cardinals,Locker Room,F-,0.0
Arizona Cardinals,Training Room,D+,1.3
Arizona Cardinals,Training Staff,B-,2.7
Arizona Cardinals,Weight Room,D+,1.3
Arizona Cardinals,Strength Coaches,B-,2.7
Arizona Cardinals,Position Coaches,B+,3.3
Arizona Cardinals,Offensive Coordinator,B-,2.7
Arizona Cardinals,Defensive Coordinator,C+,2.3
Arizona Cardinals,Special Teams Coordinator,B,3.0
Arizona Cardinals,Team Travel,C+,2.3
Arizona Cardinals,Head Coach,B+,3.3
Arizona Cardinals,General Manager,B,3.0
Arizona Cardinals,Team Ownership,F,0.0
Atlanta Falcons,Treatment of Families,B+,3.3
Atlanta Falcons,Home Game Field,C-,1.7
Atlanta Falcons,Food/Dining Area,A-,3.7
Atlanta Falcons,Nutritionist/Dietician,A,4.0
Atlanta Falcons,Locker Room,B,3.0
Atlanta Falcons,Training Room,A-,3.7
Atlanta Falcons,Training Staff,A,4.0
Atlanta Falcons,Weight Room,A,4.0
Atlanta Falcons,Strength Coaches,A,4.0
Atlanta Falcons,Position Coaches,B+,3.3
Atlanta Falcons,Offensive Coordinator,C-,1.7
Atlanta Falcons,Defensive Coordinator,A,4.0
Atlanta Falcons,Special Teams Coordinator,B+,3.3
Atlanta Falcons,Team Travel,B+,3.3
Atlanta Falcons,Head Coach,B+,3.3
Atlanta Falcons,General Manager,B+,3.3
Atlanta Falcons,Team Ownership,A,4.0
Baltimore Ravens,Treatment of Families,B+,3.3
Baltimore Ravens,Home Game Field,A,4.0
Baltimore Ravens,Food/Dining Area,B,3.0
Baltimore Ravens,Nutritionist/Dietician,A-,3.7
Baltimore Ravens,Locker Room,B-,2.7
Baltimore Ravens,Training Room,A,4.0
Baltimore Ravens,Training Staff,B,3.0
Baltimore Ravens,Weight Room,A,4.0
Baltimore Ravens,Strength Coaches,A,4.0
Baltimore Ravens,Position Coaches,B,3.0
Baltimore Ravens,Offensive Coordinator,B-,2.7
Baltimore Ravens,Defensive Coordinator,B+,3.3
Baltimore Ravens,Special Teams Coordinator,B+,3.3
Baltimore Ravens,Team Travel,B-,2.7
Baltimore Ravens,Head Coach,B,3.0
Baltimore Ravens,General Manager,A-,3.7
Baltimore Ravens,Team Ownership,A+,4.3
Buffalo Bills,Treatment of Families,B,3.0
Buffalo Bills,Home Game Field,F,0.0
Buffalo Bills,Food/Dining Area,B-,2.7
Buffalo Bills,Nutritionist/Dietician,B-,2.7
Buffalo Bills,Locker Room,B,3.0
Buffalo Bills,Training Room,B+,3.3
Buffalo Bills,Training Staff,B+,3.3
Buffalo Bills,Weight Room,A,4.0
Buffalo Bills,Strength Coaches,A,4.0
Buffalo Bills,Position Coaches,A,4.0
Buffalo Bills,Offensive Coordinator,A-,3.7
Buffalo Bills,Defensive Coordinator,B,3.0
Buffalo Bills,Special Teams Coordinator,B+,3.3
Buffalo Bills,Team Travel,B-,2.7
Buffalo Bills,Head Coach,A-,3.7
Buffalo Bills,General Manager,A-,3.7
Buffalo Bills,Team Ownership,A-,3.7
Carolina Panthers,Treatment of Families,B,3.0
Carolina Panthers,Home Game Field,F,0.0
Carolina Panthers,Food/Dining Area,B+,3.3
Carolina Panthers,Nutritionist/Dietician,A-,3.7
Carolina Panthers,Locker Room,D+,1.3
Carolina Panthers,Training Room,B,3.0
Carolina Panthers,Training Staff,A-,3.7
Carolina Panthers,Weight Room,B,3.0
Carolina Panthers,Strength Coaches,A-,3.7
Carolina Panthers,Position Coaches,A-,3.7
Carolina Panthers,Offensive Coordinator,A-,3.7
Carolina Panthers,Defensive Coordinator,B,3.0
Carolina Panthers,Special Teams Coordinator,A-,3.7
Carolina Panthers,Team Travel,D,1.0
Carolina Panthers,Head Coach,A-,3.7
Carolina Panthers,General Manager,A,4.0
Carolina Panthers,Team Ownership,B-,2.7
Chicago Bears,Treatment of Families,C+,2.3
Chicago Bears,Home Game Field,C,2.0
Chicago Bears,Food/Dining Area,B,3.0
Chicago Bears,Nutritionist/Dietician,A,4.0
Chicago Bears,Locker Room,B+,3.3
Chicago Bears,Training Room,B,3.0
Chicago Bears,Training Staff,B,3.0
Chicago Bears,Weight Room,A,4.0
Chicago Bears,Strength Coaches,A-,3.7
Chicago Bears,Position Coaches,B-,2.7
Chicago Bears,Offensive Coordinator,A-,3.7
Chicago Bears,Defensive Coordinator,C+,2.3
Chicago Bears,Special Teams Coordinator,B-,2.7
Chicago Bears,Team Travel,B+,3.3
Chicago Bears,Head Coach,A,4.0
Chicago Bears,General Manager,A-,3.7
Chicago Bears,Team Ownership,A-,3.7
Cincinnati Bengals,Treatment of Families,F-,0.0
Cincinnati Bengals,Home Game Field,D-,0.7
Cincinnati Bengals,Food/Dining Area,F-,0.0
Cincinnati Bengals,Nutritionist/Dietician,F,0.0
Cincinnati Bengals,Locker Room,A-,3.7
Cincinnati Bengals,Training Room,A-,3.7
Cincinnati Bengals,Training Staff,A-,3.7
Cincinnati Bengals,Weight Room,A-,3.7
Cincinnati Bengals,Strength Coaches,A,4.0
Cincinnati Bengals,Position Coaches,B-,2.7
Cincinnati Bengals,Offensive Coordinator,A-,3.7
Cincinnati Bengals,Defensive Coordinator,B+,3.3
Cincinnati Bengals,Special Teams Coordinator,B+,3.3
Cincinnati Bengals,Team Travel,C-,1.7
Cincinnati Bengals,Head Coach,A-,3.7
Cincinnati Bengals,General Manager,C,2.0
Cincinnati Bengals,Team Ownership,D+,1.3
Cleveland Browns,Treatment of Families,D-,0.7
Cleveland Browns,Home Game Field,B-,2.7
Cleveland Browns,Food/Dining Area,D+,1.3
Cleveland Browns,Nutritionist/Dietician,C+,2.3
Cleveland Browns,Locker Room,F,0.0
Cleveland Browns,Training Room,C,2.0
Cleveland Browns,Training Staff,C+,2.3
Cleveland Browns,Weight Room,B+,3.3
Cleveland Browns,Strength Coaches,B+,3.3
Cleveland Browns,Position Coaches,B-,2.7
Cleveland Browns,Offensive Coordinator,D+,1.3
Cleveland Browns,Defensive Coordinator,A-,3.7
Cleveland Browns,Special Teams Coordinator,D,1.0
Cleveland Browns,Team Travel,D-,0.7
Cleveland Browns,Head Coach,C-,1.7
Cleveland Browns,General Manager,C,2.0
Cleveland Browns,Team Ownership,C,2.0
Dallas Cowboys,Treatment of Families,B,3.0
Dallas Cowboys,Home Game Field,C,2.0
Dallas Cowboys,Food/Dining Area,B,3.0
Dallas Cowboys,Nutritionist/Dietician,B+,3.3
Dallas Cowboys,Locker Room,B+,3.3
Dallas Cowboys,Training Room,D,1.0
Dallas Cowboys,Training Staff,C,2.0
Dallas Cowboys,Weight Room,A-,3.7
Dallas Cowboys,Strength Coaches,A-,3.7
Dallas Cowboys,Position Coaches,B,3.0
