FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
01,Alabama,1976,"2,632,667   ","1,500,615   ","1,399,921   ","100,694   "
02,Alaska,1976,"239,917   ","164,450   ","151,844   ","12,606   "
04,Arizona,1976,"1,650,917   ","981,641   ","885,169   ","96,472   "
05,Arkansas,1976,"1,546,583   ","893,849   ","832,100   ","61,749   "
06,California,1976,"15,823,750   ","9,892,525   ","8,982,727   ","909,798   "
08,Colorado,1976,"1,858,250   ","1,241,861   ","1,167,716   ","74,145   "
09,Connecticut,1976,"2,260,083   ","1,451,846   ","1,318,663   ","133,183   "
10,Delaware,1976,"420,667   ","263,764   ","240,906   ","22,858   "
11,District of Columbia,1976,"517,250   ","332,022   ","303,139   ","28,883   "
12,Florida,1976,"6,509,000   ","3,598,839   ","3,264,416   ","334,423   "
13,Georgia,1976,"3,557,750   ","2,270,404   ","2,085,187   ","185,217   "
15,Hawaii,1976,"591,833   ","409,851   ","372,252   ","37,599   "
16,Idaho,1976,"589,333   ","372,484   ","351,593   ","20,891   "
17,Illinois,1976,"8,177,500   ","5,147,046   ","4,810,302   ","336,744   "
18,Indiana,1976,"3,812,500   ","2,438,409   ","2,290,238   ","148,171   "
19,Iowa,1976,"2,081,583   ","1,338,535   ","1,282,842   ","55,693   "
20,Kansas,1976,"1,647,583   ","1,077,340   ","1,032,679   ","44,661   "
21,Kentucky,1976,"2,486,500   ","1,493,465   ","1,412,199   ","81,266   "
22,Louisiana,1976,"2,707,250   ","1,532,221   ","1,430,872   ","101,349   "
23,Maine,1976,"772,833   ","476,111   ","434,945   ","41,166   "
24,Maryland,1976,"2,977,417   ","1,912,208   ","1,785,342   ","126,866   "
25,Massachusetts,1976,"4,212,167   ","2,727,705   ","2,460,609   ","267,096   "
26,Michigan,1976,"6,453,167   ","3,983,699   ","3,608,680   ","375,019   "
27,Minnesota,1976,"2,812,250   ","1,848,717   ","1,741,662   ","107,055   "
28,Mississippi,1976,"1,657,167   ","970,119   ","906,906   ","63,213   "
29,Missouri,1976,"3,486,917   ","2,123,405   ","1,991,342   ","132,063   "
30,Montana,1976,"536,667   ","334,039   ","314,166   ","19,873   "
31,Nebraska,1976,"1,101,167   ","715,076   ","692,532   ","22,544   "
32,Nevada,1976,"463,417   ","327,990   ","299,003   ","28,987   "
33,New Hampshire,1976,"602,000   ","398,208   ","372,607   ","25,601   "
34,New Jersey,1976,"5,382,750   ","3,321,131   ","2,975,947   ","345,184   "
35,New Mexico,1976,"808,000   ","487,474   ","444,908   ","42,566   "
36,New York,1976,"13,221,750   ","7,675,931   ","6,890,638   ","785,293   "
37,North Carolina,1976,"3,937,333   ","2,607,795   ","2,444,932   ","162,863   "
38,North Dakota,1976,"446,250   ","280,260   ","269,603   ","10,657   "
39,Ohio,1976,"7,731,000   ","4,751,112   ","4,383,254   ","367,858   "
40,Oklahoma,1976,"2,020,583   ","1,192,532   ","1,125,887   ","66,645   "
41,Oregon,1976,"1,739,583   ","1,096,938   ","994,687   ","102,251   "
42,Pennsylvania,1976,"8,807,167   ","5,135,350   ","4,724,246   ","411,104   "
44,Rhode Island,1976,"695,750   ","441,582   ","406,183   ","35,399   "
45,South Carolina,1976,"2,007,417   ","1,298,668   ","1,207,409   ","91,259   "
46,South Dakota,1976,"480,583   ","311,866   ","301,348   ","10,518   "
47,Tennessee,1976,"3,112,917   ","1,859,433   ","1,745,655   ","113,778   "
