Date Key,Day of Week Name,Day of Week Number,Day of Month,Day of Year,Week Start Date,Is Weekend,Calendar Year,Calendar Month,Calendar Month Name,Calendar Quarter,Fiscal Year,Fiscal Quarter,Fiscal Period,Fiscal Period Name,Fiscal Week of Year,Fiscal Week of Period,Fiscal Year Day Number,Is 53rd Week,Fiscal Season,Fiscal Year Start Date,Fiscal Year End Date,Fiscal Quarter Start Date,Fiscal Quarter End Date,Fiscal Period Start Date,Fiscal Period End Date,Fiscal Season Start Date,Fiscal Season End Date,Fiscal Quarter Day Number,Fiscal Period Day Number,Fiscal Season Day Number,Prior Year Date
2021-01-03,Sunday,1,3,3,2021-01-03,Y,2021,1,January,1,2021,1,1,P01,1,1,1,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,1,1,1,
2021-01-04,Monday,2,4,4,2021-01-03,N,2021,1,January,1,2021,1,1,P01,1,1,2,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,2,2,2,
2021-01-05,Tuesday,3,5,5,2021-01-03,N,2021,1,January,1,2021,1,1,P01,1,1,3,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,3,3,3,
2021-01-06,Wednesday,4,6,6,2021-01-03,N,2021,1,January,1,2021,1,1,P01,1,1,4,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,4,4,4,
2021-01-07,Thursday,5,7,7,2021-01-03,N,2021,1,January,1,2021,1,1,P01,1,1,5,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,5,5,5,
2021-01-08,Friday,6,8,8,2021-01-03,N,2021,1,January,1,2021,1,1,P01,1,1,6,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,6,6,6,
2021-01-09,Saturday,7,9,9,2021-01-03,Y,2021,1,January,1,2021,1,1,P01,1,1,7,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,7,7,7,
2021-01-10,Sunday,1,10,10,2021-01-10,Y,2021,1,January,1,2021,1,1,P01,2,2,8,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,8,8,8,
2021-01-11,Monday,2,11,11,2021-01-10,N,2021,1,January,1,2021,1,1,P01,2,2,9,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,9,9,9,
2021-01-12,Tuesday,3,12,12,2021-01-10,N,2021,1,January,1,2021,1,1,P01,2,2,10,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,10,10,10,
2021-01-13,Wednesday,4,13,13,2021-01-10,N,2021,1,January,1,2021,1,1,P01,2,2,11,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,11,11,11,
2021-01-14,Thursday,5,14,14,2021-01-10,N,2021,1,January,1,2021,1,1,P01,2,2,12,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,12,12,12,
2021-01-15,Friday,6,15,15,2021-01-10,N,2021,1,January,1,2021,1,1,P01,2,2,13,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,13,13,13,
2021-01-16,Saturday,7,16,16,2021-01-10,Y,2021,1,January,1,2021,1,1,P01,2,2,14,N,H1,2021-01-03,2022-01-01,2021-01-03,2021-04-03,2021-01-03,2021-01-30,2021-01-03,2021-07-03,14,14,14,
