Product Key,Product Name,Product Type,Product Family,Product Line,Product Group,Product Description,Sku Number,Price,Product Status,Product Notes,Updated At,Updated By,Proposed Price,Vendor Key
1,"1-60"" Class (59.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"60"" Class (59.5"" Diag.)   LED   2160p",HD1548890480,109.5,Discontinue,Not selling well,2022-03-02 18:55:03,alfonso@sigmacomputing.com,5.0,9
2,"2-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   2160p",HD2146525053,1054.5,Active Mature,Not selling,2022-02-09 22:09:40,brendon@sigmacomputing.com,377.0,9
3,"3-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD6650036963,167.5,Discontinue,Not selling in the south,2021-12-21 22:39:01,tyler@sigmacomputing.com,0.0,9
4,"4-50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"50"" Class (49.5"" Diag.)   LED   2160p",HD8931451202,167.5,End of Life,Not Selling,2021-05-05 19:54:21,tyler@sigmacomputing.com,2000.0,9
5,"5-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   LED   2160p",HD2741903687,293.5,Active Mature,Not ,2021-07-22 21:41:20,ali@sigmacomputing.com,1546.0,10
6,"6-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD7754047458,162.0,Active Mature,Top seller,2021-06-18 14:36:39,tyler@sigmacomputing.com,300.0,10
7,"7-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD5471457577,419.5,Active,selling very well,2022-03-02 19:37:29,tyler@sigmacomputing.com,1.0,20
8,"8-55"" Class (54.6"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   Curved",HD7350004591,172.5,Active,Not performing well v2,2021-03-23 19:20:11,tyler@sigmacomputing.com,0.0,20
9,"9-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD3763175147,109.5,Active Mature,Size is wrong,2021-07-07 15:14:40,tyler@sigmacomputing.com,150.0,9
10,"10-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   LED   2160p",HD1134786088,456.0,Active,This size is popular,2021-09-01 20:06:55,sofie@sigmacomputing.com,0.0,9
11,"11-40"" Class (40"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"40"" Class (40"" Diag.)   LED   2160p",HD3597731336,109.5,End of Life,Reach out to Michael,2021-02-03 18:08:53,zack@sigmacomputing.com,120.0,9
12,"12-50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"50"" Class (49.5"" Diag.)   LED   2160p",HD1537819291,1159.5,End of Life,Discontinuing,2021-09-16 20:57:20,sofie@sigmacomputing.com,400.0,10
13,"13-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD4172546894,1002.0,End of Life,WE've seen sales pick up for this,2021-11-05 15:08:14,sofie@sigmacomputing.com,1100.0,5
14,"14-AQUOS   50"" Class (49.6"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   50"" Class (49.6"" Diag.)   LED",HD7300946701,99.0,Active Mature,Broken,2021-06-10 13:20:44,sofie@sigmacomputing.com,,10
15,"15-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64.5"" Diag.)   LED   2160p",HD5813347913,592.5,Active Mature,Rob has details,2021-06-23 14:20:18,tyler@sigmacomputing.com,,10
16,"16-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64.5"" Diag.)   LED   2160p",HD9298577865,183.0,Discontinue,Ask Amanda,2021-08-16 20:43:01,sofie@sigmacomputing.com,100.0,9
17,"17-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54.6"" Diag.)   LED   2160p",HD7112342227,109.5,Active,Not selling in US,2022-05-12 14:05:53,sofie@sigmacomputing.com,,9
18,"18-49"" Class (48.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"49"" Class (48.5"" Diag.)   LED   2160p",HD8923795038,120.0,Discontinue,Size is not popular,2022-05-12 14:05:55,sofie@sigmacomputing.com,33.0,18
19,"19-65"" Class (64 1/2"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64 1/2"" Diag.)   LED",HD7567573683,1117.5,Active Mature,Other similar sizes sell better,2021-06-15 18:54:30,sofie@sigmacomputing.com,,9
