Store Key,Store Name,Store Address,Store City,Store State,Store Zip Code,Store County,Store Region,Store Open Date,Last Layout Update,Latitude,Longitude,Store Size,Monthly Rent Cost,Number of Employees,Online Ordering,Selling Square Footage,Total Square Footage,LAST_LAYOUT_UPDATE,MONTHLY_RENT_COST,NUMBER_OF_EMPLOYEES,ONLINE_ORDERING,AVG_PARKING_UTILIZATION,PARKING_CAPACITY,PARKING_SQUARE_FOOTAGE,PARKING_LIMIT_2HR,PARKING_TYPE,SELLING_SQUARE_FOOTAGE,STORE_ADDRESS,STORE_CITY,STORE_COUNTY,STORE_KEY,STORE_NAME,STORE_OPEN_DATE,STORE_REGION,STORE_SIZE,STORE_STATE,STORE_ZIP_CODE,TOTAL_SQUARE_FOOTAGE,Store Area,Store Type,Weekday Open Hour,Weekday Close Hour,Sunday Open Hour,Sunday Close Hour
84,Baltic Store #84,84 Baltic Pass,Bethlehem,Pennsylvania,18015.0,"Lehigh County, Pennsylvania",East,2016-04-20 00:00:00,2021-08-05 00:00:00,40.5859,-75.3672,Small,3800.0,56.0,Curbside Pickup,18000.0,21800.0,2021-08-05 00:00:00,3800.0,56.0,Curbside Pickup,0.376,325.0,73902.0,False,lot,18000.0,84 Baltic Pass,Bethlehem,"Lehigh County, Pennsylvania",84.0,Baltic Store #84,2016-04-20 00:00:00,East,Small,Pennsylvania,18015.0,21800.0,East-1,Store,10,20,11,18
122,Underwood Store #122,122 Underwood Route,Greeley,Colorado,80631.0,"Weld County, Colorado",Southwest,2016-11-25 00:00:00,2019-04-18 00:00:00,40.4429,-104.6731,Large,9300.0,40.0,Delivery to Car,50900.0,61600.0,2019-04-18 00:00:00,9300.0,40.0,Delivery to Car,0.28,827.0,178640.0,True,lot,50900.0,122 Underwood Route,Greeley,"Weld County, Colorado",122.0,Underwood Store #122,2016-11-25 00:00:00,Southwest,Large,Colorado,80631.0,61600.0,Southwest-1,Store,9,21,10,20
725,Clere Store #725,725 Clere Boulevard,Costa Mesa,California,92628.0,"Orange County, California",West,2010-11-08 00:00:00,2018-08-26 00:00:00,33.64,-117.91,Large,9700.0,48.0,Ship to Residence,45600.0,56500.0,2018-08-26 00:00:00,9700.0,48.0,Ship to Residence,0.209,880.0,185320.0,True,lot,45600.0,725 Clere Boulevard,Costa Mesa,"Orange County, California",725.0,Clere Store #725,2010-11-08 00:00:00,West,Large,California,92628.0,56500.0,West-4,Store,9,21,10,20
6,Clarges Store #6,6 Clarges Road,Folsom,California,95630.0,"Sacramento County, California",West,2010-11-28 00:00:00,2019-04-12 00:00:00,38.6666,-121.1416,Small,6000.0,58.0,Delivery to Car,17100.0,19800.0,2019-04-12 00:00:00,6000.0,58.0,Delivery to Car,0.421,255.0,61380.0,True,garage,17100.0,6 Clarges Road,Folsom,"Sacramento County, California",6.0,Clarges Store #6,2010-11-28 00:00:00,West,Small,California,95630.0,19800.0,West-1,Store,10,20,11,18
192,Collent Store #192,192 Collent Rue,Concord,North Carolina,28025.0,"Cabarrus County, North Carolina",South,2020-08-27 00:00:00,2025-09-29 00:00:00,35.3827,-80.5235,Large,6600.0,37.0,Curbside Pickup,49000.0,61300.0,2025-09-29 00:00:00,6600.0,37.0,Curbside Pickup,0.427,677.0,155702.0,True,lot,49000.0,192 Collent Rue,Concord,"Cabarrus County, North Carolina",192.0,Collent Store #192,2020-08-27 00:00:00,South,Large,North Carolina,28025.0,61300.0,South-1,Store,9,21,10,20
178,Commercial Store #178,178 Commercial Tunnel,Berkeley,California,94704.0,"Alameda County, California",West,2017-10-01 00:00:00,2020-05-24 00:00:00,37.8665,-122.258,Large,4000.0,28.0,Delivery to Car,48100.0,59200.0,2020-05-24 00:00:00,4000.0,28.0,Delivery to Car,0.403,753.0,178192.0,True,lot,48100.0,178 Commercial Tunnel,Berkeley,"Alameda County, California",178.0,Commercial Store #178,2017-10-01 00:00:00,West,Large,California,94704.0,59200.0,West-1,Store,9,21,10,20
498,Thrale Store #498,498 Thrale Route,Tucson,Arizona,85726.0,"Pima County, Arizona",Southwest,2015-06-04 00:00:00,2025-07-11 00:00:00,32.2047,-110.9456,Large,1300.0,56.0,Ship to Residence,52300.0,60100.0,2025-07-11 00:00:00,1300.0,56.0,Ship to Residence,0.272,882.0,194724.0,False,garage,52300.0,498 Thrale Route,Tucson,"Pima County, Arizona",498.0,Thrale Store #498,2015-06-04 00:00:00,Southwest,Large,Arizona,85726.0,60100.0,Southwest-2,Store,9,21,10,20
589,Garfield Store #589,589 Garfield Lane,Longview,Texas,75601.0,"Gregg County, Texas",Southwest,2011-12-29 00:00:00,2016-11-10 00:00:00,32.5086,-94.724,Large,9400.0,59.0,,52900.0,60800.0,2016-11-10 00:00:00,9400.0,59.0,,0.488,946.0,206720.0,False,lot,52900.0,589 Garfield Lane,Longview,"Gregg County, Texas",589.0,Garfield Store #589,2011-12-29 00:00:00,Southwest,Large,Texas,75601.0,60800.0,Southwest-2,Store,9,21,10,20
36,Norfolk Store #36,36 Norfolk Crossroad,Jonesboro,Arkansas,72401.0,"Craighead County, Arkansas",South,2012-04-19 00:00:00,2023-05-15 00:00:00,35.8863,-90.6568,Large,1200.0,34.0,In Store Pickup,54900.0,66500.0,2023-05-15 00:00:00,1200.0,34.0,In Store Pickup,0.31,741.0,174230.0,True,garage,54900.0,36 Norfolk Crossroad,Jonesboro,"Craighead County, Arkansas",36.0,Norfolk Store #36,2012-04-19 00:00:00,South,Large,Arkansas,72401.0,66500.0,South-1,Store,9,21,10,20
318,Union Store #318,318 Union Tunnel,Wichita,Kansas,67276.0,"Sedgwick County, Kansas",Midwest,2019-10-17 00:00:00,2022-06-03 00:00:00,37.68,-97.34,Small,8000.0,25.0,Ship to Residence,15100.0,18900.0,2022-06-03 00:00:00,8000.0,25.0,Ship to Residence,,,,False,street,15100.0,318 Union Tunnel,Wichita,"Sedgwick County, Kansas",318.0,Union Store #318,2019-10-17 00:00:00,Midwest,Small,Kansas,67276.0,18900.0,Midwest-2,Store,10,20,11,18
