Store Key,Fiscal Year,Fiscal Period,Budget Sales Amount,Budget Units
6,2021,8,39188.48,28
6,2021,9,71070.85,44
6,2021,10,68262.55,45
6,2021,11,88226.99,58
6,2021,12,62709.53,43
6,2022,1,67749.48,46
6,2022,2,77242.69,57
6,2022,3,70466.86,44
6,2022,4,58455.69,40
6,2022,5,92218.56,58
6,2022,6,60025.73,39
6,2022,7,72973.77,47
6,2022,8,46192.15,49
6,2022,9,81696.74,43
6,2022,10,80932.08,39
6,2022,11,102160.16,65
6,2022,12,74560.6,45
6,2023,1,77781.7,44
6,2023,2,93742.31,58
6,2023,3,85121.26,51
6,2023,4,70039.29,47
6,2023,5,102072.47,50
6,2023,6,65760.41,42
6,2023,7,85599.04,34
6,2023,8,105571.47,37
6,2023,9,82585.76,42
6,2023,10,67227.95,48
6,2023,11,113274.73,78
6,2023,12,82041.08,92
6,2024,1,102183.85,61
6,2024,2,108032.48,72
6,2024,3,91649.54,63
6,2024,4,97905.19,63
6,2024,5,100951.34,81
6,2024,6,84895.18,68
6,2024,7,61749.27,68
6,2024,8,70708.03,92
6,2024,9,65893.73,65
6,2024,10,90458.66,74
6,2024,11,138501.07,92
6,2024,12,153869.2,74
6,2025,1,83971.12,83
6,2025,2,137111.64,84
6,2025,3,127852.0,72
6,2025,4,102107.42,78
6,2025,5,135593.01,98
6,2025,6,105018.35,89
6,2025,7,124995.08,81
6,2025,8,125582.15,105
6,2025,9,110546.37,76
6,2025,10,123651.99,36
8,2021,8,24841.69,17
8,2021,9,29552.18,18
8,2021,10,31044.32,26
8,2021,11,41836.04,30
8,2021,12,31045.69,27
8,2022,1,27611.22,23
8,2022,2,46248.48,29
8,2022,3,37275.1,27
8,2022,4,30236.86,20
8,2022,5,37903.57,34
8,2022,6,25377.82,23
8,2022,7,36856.74,27
8,2022,8,29534.91,29
8,2022,9,34662.83,29
8,2022,10,36627.9,24
8,2022,11,48859.85,27
8,2022,12,35937.37,23
8,2023,1,32130.77,20
8,2023,2,52998.8,31
8,2023,3,42913.87,21
8,2023,4,37555.57,21
8,2023,5,44780.07,30
8,2023,6,29290.49,21
8,2023,7,42109.13,18
8,2023,8,43537.46,21
8,2023,9,37200.63,25
8,2023,10,31247.34,30
8,2023,11,40432.72,64
