Product Key,Product Name,Product Type,Product Family,Product Line,Product Group,Product Description,Sku Number,Price,Cost Amount,Quantity on Hand
1,"1-60"" Class (59.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,LG,"60"" Class (59.5"" Diag.)   LED   2160p",HD1548890480,109.5,52.768820007,3
2,"2-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   2160p",HD2146525053,1054.5,46.968702246,1
3,"3-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD6650036963,167.5,192.481332046,3
4,"4-50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"50"" Class (49.5"" Diag.)   LED   2160p",HD8931451202,167.5,198.99325251,2
5,"5-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   LED   2160p",HD2741903687,293.5,33.3272404,1
6,"6-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD7754047458,162.0,101.499651387,2
7,"7-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD5471457577,419.5,183.433414321,3
8,"8-55"" Class (54.6"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   Curved",HD7350004591,172.5,191.840852808,2
9,"9-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"55"" Class (54.6"" Diag.)   LED   2160p",HD3763175147,109.5,23.976389821,1
10,"10-60"" Class (60"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"60"" Class (60"" Diag.)   LED   2160p",HD1134786088,456.0,46.518235135,1
11,"11-40"" Class (40"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"40"" Class (40"" Diag.)   LED   2160p",HD3597731336,109.5,130.346156037,3
12,"12-50"" Class (49.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Samsung,"50"" Class (49.5"" Diag.)   LED   2160p",HD1537819291,1159.5,42.689932643,1
13,"13-65"" Class (64.5"" Diag.)   LED   Curved",Entertainment,High Definition TV,4K Ultra,Samsung,"65"" Class (64.5"" Diag.)   LED   Curved",HD4172546894,1002.0,129.862513426,1
14,"14-AQUOS   50"" Class (49.6"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sharp,"AQUOS   50"" Class (49.6"" Diag.)   LED",HD7300946701,99.0,21.010214426,1
15,"15-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64.5"" Diag.)   LED   2160p",HD5813347913,592.5,144.368289207,1
16,"16-65"" Class (64.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64.5"" Diag.)   LED   2160p",HD9298577865,183.0,171.537540383,2
17,"17-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54.6"" Diag.)   LED   2160p",HD7112342227,109.5,174.742885925,3
18,"18-49"" Class (48.5"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"49"" Class (48.5"" Diag.)   LED   2160p",HD8923795038,120.0,145.773044156,2
19,"19-65"" Class (64 1/2"" Diag.)   LED",Entertainment,High Definition TV,4K Ultra,Sony,"65"" Class (64 1/2"" Diag.)   LED",HD7567573683,1117.5,159.379455441,1
20,"20-55"" Class (54.6"" Diag.)   LED   2160p",Entertainment,High Definition TV,4K Ultra,Sony,"55"" Class (54.6"" Diag.)   LED   2160p",HD5962551993,235.5,163.945669674,2
21,"21-M Series   43"" Class (42.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   43"" Class (42.5"" Diag.)",HD2604566011,886.5,142.292518041,1
22,"22-M Series   50"" Class (49.5"" Diag.)",Entertainment,High Definition TV,4K Ultra,VIZIO,"M Series   50"" Class (49.5"" Diag.)",HD5082493409,52.0,11.331078185,1
