Store Key,Product Key,Adjustment Date,Adjustment Quantity,Adjustment Reason
758,392,2025-01-23,-6,Theft
763,15,2024-08-26,-8,Theft
659,66,2024-06-01,-10,Theft
625,1093,2024-04-26,-5,Expiration
39,938,2022-01-16,-3,Damage
625,578,2022-11-06,-9,Theft
657,564,2024-01-19,-11,Expiration
576,27,2025-10-15,12,Cycle Count Correction
922,773,2024-06-04,-7,Theft
34,244,2024-03-31,-4,Theft
768,327,2025-05-09,-3,Cycle Count Correction
613,1052,2022-09-24,-2,Other
70,479,2025-03-03,-1,Theft
719,975,2021-10-01,-8,Theft
911,19,2022-01-30,-5,Cycle Count Correction
630,401,2024-01-02,-2,Damage
212,157,2025-06-10,-13,Damage
500,383,2025-04-26,-6,Theft
170,912,2023-01-20,-12,Expiration
334,189,2025-06-18,-7,Expiration
270,648,2022-03-11,-5,Theft
316,1035,2023-06-20,-2,Theft
115,26,2021-10-16,-14,Damage
909,814,2023-06-26,-11,Expiration
89,842,2025-02-13,-12,Theft
96,1047,2024-09-23,-13,Damage
108,626,2021-10-21,-3,Damage
324,954,2022-12-04,-11,Theft
326,377,2022-04-08,-4,Damage
182,688,2021-10-06,-2,Damage
314,822,2022-02-15,-4,Damage
888,335,2024-12-14,-9,Theft
164,343,2022-05-17,-5,Expiration
649,440,2023-02-24,-6,Damage
8,509,2024-07-04,-8,Damage
557,131,2023-11-05,-12,Theft
184,1033,2023-10-28,-12,Damage
813,1005,2022-09-29,10,Cycle Count Correction
550,886,2023-02-15,-1,Damage
33,836,2022-10-02,-11,Theft
281,37,2022-11-25,1,Cycle Count Correction
8,73,2025-09-15,-13,Damage
383,454,2023-09-03,11,Cycle Count Correction
758,578,2022-01-10,-12,Theft
630,934,2023-10-28,-10,Other
318,725,2021-09-14,-6,Theft
664,218,2025-01-30,-13,Damage
888,823,2024-09-05,-13,Damage
326,146,2022-03-31,6,Cycle Count Correction
725,496,2024-11-24,-12,Theft
443,210,2022-08-02,-12,Theft
