Date Key,Traffic Source,Spend
2021-08-19,Direct,0.0
2021-08-19,Email,2.73
2021-08-19,Organic Search,0.0
2021-08-19,Paid Search,213.62
2021-08-19,Referral,17.42
2021-08-19,Social,35.15
2021-08-20,Direct,0.0
2021-08-20,Email,1.68
2021-08-20,Organic Search,0.0
2021-08-20,Paid Search,124.52
2021-08-20,Referral,3.75
2021-08-20,Social,102.03
2021-08-21,Direct,0.0
2021-08-21,Email,1.17
2021-08-21,Organic Search,0.0
2021-08-21,Paid Search,241.94
2021-08-21,Referral,31.48
2021-08-21,Social,370.98
2021-08-22,Direct,0.0
2021-08-22,Email,2.59
2021-08-22,Organic Search,0.0
2021-08-22,Paid Search,534.68
2021-08-22,Referral,30.66
2021-08-22,Social,177.62
2021-08-23,Direct,0.0
2021-08-23,Email,2.46
2021-08-23,Organic Search,0.0
2021-08-23,Paid Search,554.96
2021-08-23,Referral,13.71
2021-08-23,Social,135.07
2021-08-24,Direct,0.0
2021-08-24,Email,2.31
2021-08-24,Organic Search,0.0
2021-08-24,Paid Search,417.66
2021-08-24,Referral,25.83
2021-08-24,Social,138.05
2021-08-25,Direct,0.0
2021-08-25,Email,1.47
2021-08-25,Organic Search,0.0
2021-08-25,Paid Search,396.71
2021-08-25,Referral,12.27
2021-08-25,Social,93.36
2021-08-26,Direct,0.0
2021-08-26,Email,3.2
2021-08-26,Organic Search,0.0
2021-08-26,Paid Search,453.9
2021-08-26,Referral,7.43
2021-08-26,Social,124.56
2021-08-27,Direct,0.0
2021-08-27,Email,2.85
2021-08-27,Organic Search,0.0
2021-08-27,Paid Search,406.42
2021-08-27,Referral,24.14
2021-08-27,Social,167.0
2021-08-28,Direct,0.0
2021-08-28,Email,0.94
2021-08-28,Organic Search,0.0
2021-08-28,Paid Search,297.06
2021-08-28,Referral,8.03
2021-08-28,Social,87.51
2021-08-29,Direct,0.0
2021-08-29,Email,8.55
2021-08-29,Organic Search,0.0
2021-08-29,Paid Search,226.08
2021-08-29,Referral,38.69
2021-08-29,Social,106.09
2021-08-30,Direct,0.0
2021-08-30,Email,1.92
2021-08-30,Organic Search,0.0
2021-08-30,Paid Search,520.33
2021-08-30,Referral,28.24
2021-08-30,Social,210.13
2021-08-31,Direct,0.0
2021-08-31,Email,1.94
2021-08-31,Organic Search,0.0
2021-08-31,Paid Search,295.17
2021-08-31,Referral,19.06
2021-08-31,Social,124.51
2021-09-01,Direct,0.0
2021-09-01,Email,0.62
2021-09-01,Organic Search,0.0
2021-09-01,Paid Search,262.18
2021-09-01,Referral,3.22
2021-09-01,Social,167.49
2021-09-02,Direct,0.0
2021-09-02,Email,1.92
2021-09-02,Organic Search,0.0
2021-09-02,Paid Search,327.19
2021-09-02,Referral,5.56
2021-09-02,Social,103.6
2021-09-03,Direct,0.0
2021-09-03,Email,3.47
2021-09-03,Organic Search,0.0
2021-09-03,Paid Search,544.06
2021-09-03,Referral,19.8
2021-09-03,Social,252.49
2021-09-04,Direct,0.0
2021-09-04,Email,2.63
2021-09-04,Organic Search,0.0
2021-09-04,Paid Search,345.74
2021-09-04,Referral,16.8
2021-09-04,Social,20.31
2021-09-05,Direct,0.0
2021-09-05,Email,1.56
2021-09-05,Organic Search,0.0
2021-09-05,Paid Search,172.41
2021-09-05,Referral,12.43
2021-09-05,Social,152.78
2021-09-06,Direct,0.0
2021-09-06,Email,0.87
2021-09-06,Organic Search,0.0
2021-09-06,Paid Search,149.27
2021-09-06,Referral,4.89
2021-09-06,Social,72.59
2021-09-07,Direct,0.0
2021-09-07,Email,0.51
2021-09-07,Organic Search,0.0
2021-09-07,Paid Search,352.62
2021-09-07,Referral,19.6
2021-09-07,Social,240.23
2021-09-08,Direct,0.0
2021-09-08,Email,3.66
2021-09-08,Organic Search,0.0
2021-09-08,Paid Search,276.45
2021-09-08,Referral,23.51
2021-09-08,Social,73.6
2021-09-09,Direct,0.0
2021-09-09,Email,1.49
2021-09-09,Organic Search,0.0
2021-09-09,Paid Search,203.77
2021-09-09,Referral,33.33
2021-09-09,Social,86.76
2021-09-10,Direct,0.0
2021-09-10,Email,3.25
2021-09-10,Organic Search,0.0
2021-09-10,Paid Search,553.72
2021-09-10,Referral,26.52
2021-09-10,Social,192.9
2021-09-11,Direct,0.0
2021-09-11,Email,2.79
2021-09-11,Organic Search,0.0
2021-09-11,Paid Search,364.41
2021-09-11,Referral,32.2
2021-09-11,Social,108.92
2021-09-12,Direct,0.0
2021-09-12,Email,2.02
2021-09-12,Organic Search,0.0
2021-09-12,Paid Search,547.46
2021-09-12,Referral,25.95
2021-09-12,Social,182.81
2021-09-13,Direct,0.0
2021-09-13,Email,5.6
2021-09-13,Organic Search,0.0
2021-09-13,Paid Search,258.82
2021-09-13,Referral,15.08
2021-09-13,Social,237.29
2021-09-14,Direct,0.0
2021-09-14,Email,1.8
2021-09-14,Organic Search,0.0
2021-09-14,Paid Search,350.36
2021-09-14,Referral,12.31
2021-09-14,Social,275.53
2021-09-15,Direct,0.0
2021-09-15,Email,0.27
2021-09-15,Organic Search,0.0
2021-09-15,Paid Search,179.87
2021-09-15,Referral,14.6
2021-09-15,Social,378.72
2021-09-16,Direct,0.0
2021-09-16,Email,3.44
2021-09-16,Organic Search,0.0
2021-09-16,Paid Search,671.63
2021-09-16,Referral,3.56
2021-09-16,Social,73.55
2021-09-17,Direct,0.0
2021-09-17,Email,1.97
2021-09-17,Organic Search,0.0
2021-09-17,Paid Search,625.06
2021-09-17,Referral,28.75
2021-09-17,Social,61.77
2021-09-18,Direct,0.0
2021-09-18,Email,1.46
2021-09-18,Organic Search,0.0
2021-09-18,Paid Search,584.05
2021-09-18,Referral,49.16
2021-09-18,Social,96.32
2021-09-19,Direct,0.0
2021-09-19,Email,0.87
2021-09-19,Organic Search,0.0
2021-09-19,Paid Search,269.58
2021-09-19,Referral,23.88
2021-09-19,Social,73.58
2021-09-20,Direct,0.0
2021-09-20,Email,1.91
2021-09-20,Organic Search,0.0
2021-09-20,Paid Search,723.51
2021-09-20,Referral,9.59
2021-09-20,Social,59.32
2021-09-21,Direct,0.0
2021-09-21,Email,4.42
2021-09-21,Organic Search,0.0
2021-09-21,Paid Search,303.26
2021-09-21,Referral,14.42
2021-09-21,Social,122.1
2021-09-22,Direct,0.0
2021-09-22,Email,1.81
2021-09-22,Organic Search,0.0
2021-09-22,Paid Search,371.57
2021-09-22,Referral,17.52
2021-09-22,Social,154.74
2021-09-23,Direct,0.0
2021-09-23,Email,1.63
2021-09-23,Organic Search,0.0
2021-09-23,Paid Search,384.74
2021-09-23,Referral,14.46
2021-09-23,Social,210.83
2021-09-24,Direct,0.0
2021-09-24,Email,1.05
2021-09-24,Organic Search,0.0
2021-09-24,Paid Search,314.14
2021-09-24,Referral,13.16
2021-09-24,Social,93.14
2021-09-25,Direct,0.0
2021-09-25,Email,1.24
2021-09-25,Organic Search,0.0
2021-09-25,Paid Search,586.29
2021-09-25,Referral,9.43
2021-09-25,Social,289.33
2021-09-26,Direct,0.0
2021-09-26,Email,2.04
2021-09-26,Organic Search,0.0
2021-09-26,Paid Search,366.76
2021-09-26,Referral,5.91
2021-09-26,Social,89.23
2021-09-27,Direct,0.0
2021-09-27,Email,2.01
2021-09-27,Organic Search,0.0
2021-09-27,Paid Search,339.29
2021-09-27,Referral,18.87
2021-09-27,Social,146.7
2021-09-28,Direct,0.0
2021-09-28,Email,2.7
2021-09-28,Organic Search,0.0
2021-09-28,Paid Search,377.03
2021-09-28,Referral,10.6
2021-09-28,Social,133.85
2021-09-29,Direct,0.0
2021-09-29,Email,1.46
2021-09-29,Organic Search,0.0
2021-09-29,Paid Search,205.25
2021-09-29,Referral,4.39
