PO Number,Vendor Key,Product Key,Order Date,Expected Receipt Date,Actual Receipt Date,Order Quantity,Unit Cost,PO Status
1,9,1,2021-08-31,2021-09-20,2021-09-19,129,86.81,Received
2,9,1,2021-09-14,2021-10-04,2021-10-02,129,89.79,Received
3,9,1,2021-09-28,2021-10-18,2021-10-18,136,85.95,Received
4,9,1,2021-10-21,2021-11-10,2021-11-09,133,90.32,Received
5,9,1,2021-11-01,2021-11-21,2021-11-21,130,87.17,Received
6,9,1,2021-11-27,2021-12-17,2021-12-17,125,86.98,Received
7,9,1,2021-12-16,2022-01-05,2022-01-03,137,91.6,Received
8,9,1,2022-05-20,2022-06-09,2022-06-09,130,87.44,Received
9,9,1,2022-06-14,2022-07-04,2022-07-07,149,87.57,Received
10,9,1,2022-07-01,2022-07-21,2022-07-21,117,86.66,Received
11,9,1,2022-07-02,2022-07-22,2022-07-20,121,88.45,Received
12,9,1,2022-07-04,2022-07-24,2022-07-22,120,89.63,Received
13,9,1,2022-07-27,2022-08-16,2022-08-15,131,83.68,Received
14,9,1,2022-08-04,2022-08-24,2022-08-24,136,89.57,Received
15,9,1,2022-08-16,2022-09-05,2022-09-03,129,88.33,Received
16,9,1,2022-10-02,2022-10-22,2022-10-24,144,91.7,Received
17,9,1,2022-10-11,2022-10-31,2022-10-31,129,91.54,Received
18,9,1,2022-12-18,2023-01-07,2023-01-08,127,87.86,Received
19,9,1,2023-01-07,2023-01-27,2023-01-27,126,86.85,Received
20,9,1,2023-03-17,2023-04-06,2023-04-05,126,89.28,Received
21,9,1,2023-04-13,2023-05-03,2023-05-04,123,87.26,Received
22,9,1,2023-05-05,2023-05-25,2023-05-24,129,89.69,Received
23,9,1,2023-05-14,2023-06-03,2023-06-06,128,85.1,Received
24,9,1,2023-07-09,2023-07-29,2023-07-30,117,91.5,Received
25,9,1,2023-07-16,2023-08-05,2023-08-08,134,88.21,Received
26,9,1,2023-07-29,2023-08-18,2023-08-19,142,89.7,Received
27,9,1,2023-08-14,2023-09-03,2023-09-02,137,89.63,Received
28,9,1,2023-08-29,2023-09-18,2023-09-18,138,89.47,Received
29,9,1,2023-09-03,2023-09-23,2023-09-23,115,90.82,Received
30,9,1,2023-09-09,2023-09-29,2023-09-30,123,85.83,Received
31,9,1,2023-09-09,2023-09-29,2023-09-29,139,91.82,Received
32,9,1,2023-10-15,2023-11-04,2023-11-04,119,89.96,Received
33,9,1,2023-10-18,2023-11-07,2023-11-04,134,91.09,Received
34,9,1,2023-12-06,2023-12-26,2023-12-28,119,89.47,Received
35,9,1,2023-12-19,2024-01-08,2024-01-08,129,84.55,Received
36,9,1,2024-01-30,2024-02-19,2024-02-24,122,83.33,Received
37,9,1,2024-02-12,2024-03-03,2024-03-03,145,86.99,Received
38,9,1,2024-03-07,2024-03-27,2024-03-27,128,89.28,Received
39,9,1,2024-03-18,2024-04-07,2024-04-05,131,91.65,Received
40,9,1,2024-04-04,2024-04-24,2024-04-24,128,86.9,Received
41,9,1,2024-05-14,2024-06-03,2024-06-04,129,91.21,Received
42,9,1,2024-06-27,2024-07-17,2024-07-18,125,84.0,Received
43,9,1,2024-07-27,2024-08-16,2024-08-19,111,88.19,Received
44,9,1,2024-08-05,2024-08-25,2024-08-24,113,83.75,Received
45,9,1,2024-08-13,2024-09-02,2024-09-01,128,84.42,Received
46,9,1,2024-09-01,2024-09-21,2024-09-23,133,88.76,Received
47,9,1,2024-10-06,2024-10-26,2024-10-26,122,83.85,Received
48,9,1,2024-10-13,2024-11-02,2024-11-03,137,83.59,Received
49,9,1,2024-10-18,2024-11-07,2024-11-07,133,88.49,Received
50,9,1,2024-10-19,2024-11-08,2024-11-09,120,88.96,Received
51,9,1,2024-10-27,2024-11-16,2024-11-13,128,87.06,Received
52,9,1,2024-10-28,2024-11-17,2024-11-18,148,91.1,Received
53,9,1,2025-01-31,2025-02-20,2025-02-22,136,91.17,Received
54,9,1,2025-03-01,2025-03-21,2025-03-24,134,88.86,Received
55,9,1,2025-03-02,2025-03-22,2025-03-22,123,85.05,Received
56,9,1,2025-04-18,2025-05-08,2025-05-05,122,83.42,Received
57,9,1,2025-06-22,2025-07-12,2025-07-12,135,89.08,Received
58,9,1,2025-07-09,2025-07-29,2025-07-31,119,83.43,Received
59,9,1,2025-07-13,2025-08-02,2025-08-03,142,84.0,Received
60,9,1,2025-09-23,2025-10-13,2025-10-13,121,86.05,Received
61,9,2,2021-08-21,2021-09-10,2021-09-12,46,825.7,Received
62,9,2,2022-06-12,2022-07-02,2022-06-29,37,807.72,Received
63,9,2,2022-10-21,2022-11-10,2022-11-10,32,810.56,Received
64,9,2,2022-12-16,2023-01-05,2023-01-05,20,820.33,Received
65,9,2,2023-02-03,2023-02-23,2023-02-19,33,860.92,Received
66,9,2,2023-12-09,2023-12-29,2023-12-31,35,804.6,Received
67,9,2,2023-12-13,2024-01-02,2024-01-01,30,878.1,Received
68,9,2,2023-12-25,2024-01-14,2024-01-09,31,844.16,Received
69,9,2,2025-04-30,2025-05-20,2025-05-21,44,823.74,Received
70,9,2,2025-10-17,2025-11-06,,25,866.31,In Transit
71,9,3,2021-08-27,2021-09-16,2021-09-19,225,116.78,Received
72,9,3,2021-09-07,2021-09-27,2021-09-28,244,116.66,Received
73,9,3,2021-10-02,2021-10-22,2021-10-21,228,118.25,Received
74,9,3,2021-10-17,2021-11-06,2021-11-03,223,115.93,Received
75,9,3,2021-11-12,2021-12-02,2021-12-02,222,110.79,Received
76,9,3,2022-01-04,2022-01-24,2022-01-24,236,109.03,Received
77,9,3,2022-01-20,2022-02-09,2022-02-06,232,110.08,Received
78,9,3,2022-02-18,2022-03-10,2022-03-10,233,110.09,Received
79,9,3,2022-04-07,2022-04-27,2022-04-27,242,114.58,Received
80,9,3,2022-04-16,2022-05-06,2022-05-05,228,113.47,Received
81,9,3,2022-05-17,2022-06-06,2022-06-01,228,119.35,Received
82,9,3,2022-06-28,2022-07-18,2022-07-18,238,111.13,Received
83,9,3,2022-08-10,2022-08-30,2022-09-02,247,112.87,Received
84,9,3,2022-09-07,2022-09-27,2022-09-30,230,110.6,Received
85,9,3,2022-09-16,2022-10-06,2022-10-03,227,114.55,Received
86,9,3,2022-11-02,2022-11-22,2022-11-19,226,114.61,Received
87,9,3,2022-11-05,2022-11-25,2022-11-23,237,113.64,Received
88,9,3,2022-11-17,2022-12-07,2022-12-05,225,108.86,Received
89,9,3,2022-11-29,2022-12-19,2022-12-15,261,110.08,Received
90,9,3,2022-12-04,2022-12-24,2022-12-23,236,118.55,Received
91,9,3,2022-12-13,2023-01-02,2023-01-03,222,117.67,Received
92,9,3,2023-01-09,2023-01-29,2023-01-29,228,113.11,Received
93,9,3,2023-01-28,2023-02-17,2023-02-15,235,114.46,Received
94,9,3,2023-02-02,2023-02-22,2023-02-22,231,113.96,Received
95,9,3,2023-02-27,2023-03-19,2023-03-19,232,109.87,Received
96,9,3,2023-03-14,2023-04-03,2023-04-06,226,110.26,Received
97,9,3,2023-03-15,2023-04-04,2023-04-09,227,109.99,Received
98,9,3,2023-03-19,2023-04-08,2023-04-08,238,115.0,Received
99,9,3,2023-04-24,2023-05-14,2023-05-15,230,119.16,Received
100,9,3,2023-06-03,2023-06-23,2023-06-20,238,112.26,Received
101,9,3,2023-06-06,2023-06-26,2023-06-27,236,117.78,Received
102,9,3,2023-06-19,2023-07-09,2023-07-09,236,112.37,Received
103,9,3,2023-07-03,2023-07-23,2023-07-21,221,115.79,Received
104,9,3,2023-08-01,2023-08-21,2023-08-19,241,114.79,Received
105,9,3,2023-08-11,2023-08-31,2023-08-29,227,115.85,Received
106,9,3,2023-08-23,2023-09-12,2023-09-14,240,108.29,Received
107,9,3,2023-09-19,2023-10-09,2023-10-12,221,115.58,Received
108,9,3,2023-11-17,2023-12-07,2023-12-07,233,117.23,Received
109,9,3,2023-11-27,2023-12-17,2023-12-20,227,115.75,Received
