Return ID,Order Number,Product Key,Return Date,Return Quantity,Refund Amount,Return Reason,Restocked
1,131,307,2024-11-11,1,83.28,Wrong Size/Fit,Y
2,132,301,2024-11-09,1,120.0,Better Price Found,Y
3,133,65,2024-12-08,1,80.85,Changed Mind,Y
4,133,346,2024-12-08,1,48.07,Changed Mind,Y
5,133,909,2024-11-11,1,65.24,Better Price Found,Y
6,134,481,2024-11-23,2,713.0,Defective/Damaged,N
7,134,1064,2024-12-10,2,114.84,Not As Described,Y
8,136,493,2024-12-02,1,172.5,Wrong Size/Fit,Y
9,136,842,2024-12-13,2,178.65,Not As Described,Y
10,136,1095,2024-12-03,1,39.67,Not As Described,Y
11,139,380,2025-01-05,1,51.75,Defective/Damaged,N
12,140,212,2025-01-16,1,291.21,Wrong Size/Fit,Y
13,145,606,2025-02-13,2,140.53,Defective/Damaged,N
14,146,49,2025-02-22,2,211.93,Defective/Damaged,N
15,147,322,2025-02-26,2,85.31,Changed Mind,Y
16,148,66,2025-03-12,2,132.24,Defective/Damaged,N
17,149,470,2025-03-25,1,62.5,Defective/Damaged,N
18,149,715,2025-03-28,2,76.32,Other,Y
19,150,1013,2025-03-31,2,142.9,Changed Mind,N
20,154,1095,2025-05-01,2,79.34,Defective/Damaged,Y
21,155,265,2025-04-17,1,188.19,Defective/Damaged,N
22,157,311,2025-04-30,1,151.88,Changed Mind,Y
23,158,951,2025-05-05,2,1775.86,Not As Described,Y
24,159,254,2025-05-30,2,58.65,Defective/Damaged,N
25,164,482,2025-07-16,1,46.31,Not As Described,Y
26,164,747,2025-07-07,1,74.75,Wrong Size/Fit,Y
27,165,1062,2025-07-10,1,52.07,Changed Mind,Y
28,170,807,2025-08-02,1,38.39,Defective/Damaged,N
29,171,363,2025-08-14,1,136.79,Not As Described,Y
30,172,47,2025-08-24,1,711.96,Changed Mind,Y
31,173,363,2025-09-04,1,136.79,Defective/Damaged,N
32,173,861,2025-09-10,1,305.34,Defective/Damaged,N
33,173,1079,2025-09-17,2,240.0,Changed Mind,Y
34,176,302,2025-10-08,1,33.49,Changed Mind,Y
