Store Key,Date Key,Store Visits
84,2021-08-19,12
84,2021-08-20,13
84,2021-08-21,9
84,2021-08-22,5
84,2021-08-23,8
84,2021-08-24,9
84,2021-08-25,14
84,2021-08-26,6
84,2021-08-27,11
84,2021-08-28,7
84,2021-08-29,8
84,2021-08-30,5
84,2021-08-31,7
84,2021-09-01,11
84,2021-09-02,9
84,2021-09-03,17
84,2021-09-04,10
84,2021-09-05,4
84,2021-09-06,3
84,2021-09-07,3
84,2021-09-08,8
84,2021-09-09,13
84,2021-09-10,23
84,2021-09-11,4
84,2021-09-12,10
84,2021-09-13,4
84,2021-09-14,3
84,2021-09-15,11
84,2021-09-16,7
84,2021-09-17,7
84,2021-09-18,20
84,2021-09-19,3
84,2021-09-20,3
84,2021-09-21,4
84,2021-09-22,14
84,2021-09-23,12
84,2021-09-24,10
84,2021-09-25,21
84,2021-09-26,3
84,2021-09-27,3
84,2021-09-28,9
84,2021-09-29,8
84,2021-09-30,8
84,2021-10-01,13
84,2021-10-02,20
84,2021-10-03,7
84,2021-10-04,4
84,2021-10-05,4
84,2021-10-06,8
84,2021-10-07,15
84,2021-10-08,14
84,2021-10-09,14
84,2021-10-10,3
84,2021-10-11,8
84,2021-10-12,3
84,2021-10-13,15
84,2021-10-14,6
84,2021-10-15,4
84,2021-10-16,12
84,2021-10-17,4
84,2021-10-18,11
84,2021-10-19,4
84,2021-10-20,8
84,2021-10-21,8
84,2021-10-22,10
84,2021-10-23,8
84,2021-10-24,7
84,2021-10-25,17
84,2021-10-26,9
84,2021-10-27,4
84,2021-10-28,4
84,2021-10-29,25
84,2021-10-30,14
84,2021-10-31,14
84,2021-11-01,4
84,2021-11-02,11
84,2021-11-03,4
84,2021-11-04,4
84,2021-11-05,22
84,2021-11-06,5
84,2021-11-07,7
84,2021-11-08,16
84,2021-11-09,3
84,2021-11-10,3
84,2021-11-11,4
84,2021-11-12,22
84,2021-11-13,17
84,2021-11-14,12
84,2021-11-15,11
84,2021-11-16,9
84,2021-11-17,3
84,2021-11-18,9
84,2021-11-19,12
84,2021-11-20,4
84,2021-11-21,13
84,2021-11-22,15
84,2021-11-23,3
84,2021-11-24,7
84,2021-11-25,19
84,2021-11-26,8
84,2021-11-27,12
84,2021-11-28,12
84,2021-11-29,12
84,2021-11-30,4
84,2021-12-01,9
84,2021-12-02,7
84,2021-12-03,8
84,2021-12-04,17
84,2021-12-05,12
84,2021-12-06,8
84,2021-12-07,11
84,2021-12-08,3
84,2021-12-09,9
84,2021-12-10,14
84,2021-12-11,6
84,2021-12-12,21
84,2021-12-13,4
84,2021-12-14,4
84,2021-12-15,3
84,2021-12-16,5
84,2021-12-17,3
84,2021-12-18,14
84,2021-12-19,9
84,2021-12-20,15
84,2021-12-21,8
84,2021-12-22,3
84,2021-12-23,10
84,2021-12-24,8
84,2021-12-25,7
84,2021-12-26,20
84,2021-12-27,7
84,2021-12-28,12
84,2021-12-29,3
84,2021-12-30,11
84,2021-12-31,9
84,2022-01-01,12
84,2022-01-02,7
84,2022-01-03,11
84,2022-01-04,7
84,2022-01-05,8
84,2022-01-06,3
84,2022-01-07,14
84,2022-01-08,8
84,2022-01-09,20
84,2022-01-10,7
84,2022-01-11,7
84,2022-01-12,17
84,2022-01-13,5
84,2022-01-14,7
84,2022-01-15,16
84,2022-01-16,10
84,2022-01-17,4
84,2022-01-18,4
84,2022-01-19,4
84,2022-01-20,3
84,2022-01-21,8
84,2022-01-22,19
84,2022-01-23,7
84,2022-01-24,8
84,2022-01-25,7
84,2022-01-26,7
84,2022-01-27,5
84,2022-01-28,3
84,2022-01-29,19
84,2022-01-30,4
84,2022-01-31,14
84,2022-02-01,4
84,2022-02-02,4
84,2022-02-03,7
84,2022-02-04,4
84,2022-02-05,11
84,2022-02-06,9
84,2022-02-07,9
84,2022-02-08,8
84,2022-02-09,4
84,2022-02-10,5
84,2022-02-11,5
84,2022-02-12,11
84,2022-02-13,14
84,2022-02-14,15
84,2022-02-15,7
84,2022-02-16,4
84,2022-02-17,7
84,2022-02-18,14
84,2022-02-19,4
84,2022-02-20,4
84,2022-02-21,11
84,2022-02-22,8
84,2022-02-23,11
84,2022-02-24,13
84,2022-02-25,11
84,2022-02-26,7
84,2022-02-27,9
84,2022-02-28,4
84,2022-03-01,8
84,2022-03-02,4
84,2022-03-03,6
84,2022-03-04,11
84,2022-03-05,7
84,2022-03-06,4
84,2022-03-07,10
84,2022-03-08,4
84,2022-03-09,7
84,2022-03-10,12
84,2022-03-11,8
84,2022-03-12,4
84,2022-03-13,8
84,2022-03-14,4
84,2022-03-15,21
84,2022-03-16,3
84,2022-03-17,11
84,2022-03-18,8
84,2022-03-19,4
84,2022-03-20,4
84,2022-03-21,8
84,2022-03-22,4
84,2022-03-23,12
84,2022-03-24,11
84,2022-03-25,8
84,2022-03-26,3
84,2022-03-27,7
84,2022-03-28,8
84,2022-03-29,4
84,2022-03-30,5
84,2022-03-31,16
84,2022-04-01,12
84,2022-04-02,3
84,2022-04-03,3
84,2022-04-04,11
84,2022-04-05,7
84,2022-04-06,17
84,2022-04-07,4
84,2022-04-08,12
84,2022-04-09,10
84,2022-04-10,4
84,2022-04-11,11
84,2022-04-12,4
84,2022-04-13,14
84,2022-04-14,5
84,2022-04-15,11
84,2022-04-16,8
84,2022-04-17,5
84,2022-04-18,3
84,2022-04-19,8
84,2022-04-20,4
84,2022-04-21,7
84,2022-04-22,12
84,2022-04-23,8
84,2022-04-24,7
84,2022-04-25,5
84,2022-04-26,4
84,2022-04-27,4
84,2022-04-28,8
84,2022-04-29,11
84,2022-04-30,15
84,2022-05-01,7
84,2022-05-02,4
84,2022-05-03,6
84,2022-05-04,3
84,2022-05-05,18
84,2022-05-06,5
84,2022-05-07,13
84,2022-05-08,12
84,2022-05-09,3
84,2022-05-10,14
84,2022-05-11,11
84,2022-05-12,17
84,2022-05-13,13
84,2022-05-14,5
84,2022-05-15,10
84,2022-05-16,17
84,2022-05-17,4
84,2022-05-18,9
84,2022-05-19,10
84,2022-05-20,7
84,2022-05-21,20
84,2022-05-22,3
84,2022-05-23,8
84,2022-05-24,13
84,2022-05-25,8
84,2022-05-26,11
84,2022-05-27,7
84,2022-05-28,4
84,2022-05-29,11
84,2022-05-30,4
84,2022-05-31,4
84,2022-06-01,11
84,2022-06-02,3
84,2022-06-03,13
84,2022-06-04,16
84,2022-06-05,8
84,2022-06-06,4
84,2022-06-07,15
84,2022-06-08,9
84,2022-06-09,7
84,2022-06-10,11
