Date Key,Traffic Source,Web Visits
2021-08-19,Direct,93
2021-08-19,Email,123
2021-08-19,Organic Search,458
2021-08-19,Paid Search,307
2021-08-19,Referral,123
2021-08-19,Social,162
2021-08-20,Direct,201
2021-08-20,Email,39
2021-08-20,Organic Search,619
2021-08-20,Paid Search,233
2021-08-20,Referral,29
2021-08-20,Social,382
2021-08-21,Direct,368
2021-08-21,Email,39
2021-08-21,Organic Search,508
2021-08-21,Paid Search,241
2021-08-21,Referral,194
2021-08-21,Social,688
2021-08-22,Direct,227
2021-08-22,Email,63
2021-08-22,Organic Search,354
2021-08-22,Paid Search,360
2021-08-22,Referral,104
2021-08-22,Social,606
2021-08-23,Direct,259
2021-08-23,Email,58
2021-08-23,Organic Search,980
2021-08-23,Paid Search,461
2021-08-23,Referral,72
2021-08-23,Social,603
2021-08-24,Direct,125
2021-08-24,Email,177
2021-08-24,Organic Search,489
2021-08-24,Paid Search,485
2021-08-24,Referral,94
2021-08-24,Social,345
2021-08-25,Direct,300
2021-08-25,Email,60
2021-08-25,Organic Search,445
2021-08-25,Paid Search,335
2021-08-25,Referral,45
2021-08-25,Social,318
2021-08-26,Direct,252
2021-08-26,Email,86
2021-08-26,Organic Search,421
2021-08-26,Paid Search,314
2021-08-26,Referral,30
2021-08-26,Social,256
2021-08-27,Direct,331
2021-08-27,Email,79
2021-08-27,Organic Search,612
2021-08-27,Paid Search,380
2021-08-27,Referral,92
2021-08-27,Social,497
2021-08-28,Direct,372
2021-08-28,Email,58
2021-08-28,Organic Search,357
2021-08-28,Paid Search,277
2021-08-28,Referral,66
2021-08-28,Social,374
2021-08-29,Direct,119
2021-08-29,Email,234
2021-08-29,Organic Search,434
2021-08-29,Paid Search,427
2021-08-29,Referral,222
2021-08-29,Social,221
2021-08-30,Direct,225
2021-08-30,Email,89
2021-08-30,Organic Search,325
2021-08-30,Paid Search,607
2021-08-30,Referral,161
2021-08-30,Social,532
2021-08-31,Direct,155
2021-08-31,Email,40
2021-08-31,Organic Search,580
2021-08-31,Paid Search,225
2021-08-31,Referral,116
2021-08-31,Social,501
2021-09-01,Direct,139
2021-09-01,Email,46
2021-09-01,Organic Search,548
2021-09-01,Paid Search,325
2021-09-01,Referral,15
2021-09-01,Social,367
2021-09-02,Direct,460
2021-09-02,Email,58
2021-09-02,Organic Search,375
2021-09-02,Paid Search,310
2021-09-02,Referral,38
2021-09-02,Social,283
2021-09-03,Direct,135
2021-09-03,Email,94
2021-09-03,Organic Search,671
2021-09-03,Paid Search,403
2021-09-03,Referral,82
2021-09-03,Social,725
2021-09-04,Direct,214
2021-09-04,Email,104
2021-09-04,Organic Search,311
2021-09-04,Paid Search,300
2021-09-04,Referral,57
2021-09-04,Social,50
2021-09-05,Direct,221
2021-09-05,Email,65
2021-09-05,Organic Search,510
2021-09-05,Paid Search,239
2021-09-05,Referral,85
2021-09-05,Social,540
2021-09-06,Direct,343
2021-09-06,Email,48
2021-09-06,Organic Search,566
2021-09-06,Paid Search,280
2021-09-06,Referral,18
2021-09-06,Social,287
2021-09-07,Direct,256
2021-09-07,Email,37
2021-09-07,Organic Search,786
2021-09-07,Paid Search,246
2021-09-07,Referral,109
2021-09-07,Social,488
2021-09-08,Direct,285
2021-09-08,Email,80
2021-09-08,Organic Search,528
2021-09-08,Paid Search,291
2021-09-08,Referral,87
2021-09-08,Social,291
2021-09-09,Direct,269
2021-09-09,Email,122
2021-09-09,Organic Search,486
2021-09-09,Paid Search,321
2021-09-09,Referral,140
2021-09-09,Social,180
2021-09-10,Direct,250
2021-09-10,Email,129
2021-09-10,Organic Search,576
2021-09-10,Paid Search,446
2021-09-10,Referral,154
2021-09-10,Social,356
2021-09-11,Direct,260
2021-09-11,Email,59
2021-09-11,Organic Search,346
2021-09-11,Paid Search,384
2021-09-11,Referral,136
2021-09-11,Social,260
2021-09-12,Direct,222
2021-09-12,Email,72
2021-09-12,Organic Search,231
2021-09-12,Paid Search,389
2021-09-12,Referral,200
2021-09-12,Social,319
2021-09-13,Direct,328
2021-09-13,Email,124
2021-09-13,Organic Search,757
2021-09-13,Paid Search,319
2021-09-13,Referral,125
2021-09-13,Social,476
2021-09-14,Direct,265
2021-09-14,Email,73
2021-09-14,Organic Search,628
2021-09-14,Paid Search,297
2021-09-14,Referral,88
2021-09-14,Social,493
2021-09-15,Direct,150
2021-09-15,Email,20
2021-09-15,Organic Search,795
2021-09-15,Paid Search,325
2021-09-15,Referral,80
2021-09-15,Social,708
2021-09-16,Direct,200
2021-09-16,Email,114
2021-09-16,Organic Search,686
2021-09-16,Paid Search,542
2021-09-16,Referral,15
2021-09-16,Social,352
2021-09-17,Direct,147
2021-09-17,Email,154
2021-09-17,Organic Search,873
2021-09-17,Paid Search,482
2021-09-17,Referral,100
2021-09-17,Social,210
2021-09-18,Direct,126
2021-09-18,Email,56
2021-09-18,Organic Search,277
2021-09-18,Paid Search,412
2021-09-18,Referral,182
2021-09-18,Social,480
2021-09-19,Direct,80
2021-09-19,Email,56
2021-09-19,Organic Search,474
2021-09-19,Paid Search,411
2021-09-19,Referral,176
2021-09-19,Social,353
2021-09-20,Direct,266
2021-09-20,Email,41
2021-09-20,Organic Search,858
2021-09-20,Paid Search,526
2021-09-20,Referral,69
2021-09-20,Social,159
2021-09-21,Direct,286
2021-09-21,Email,101
2021-09-21,Organic Search,267
2021-09-21,Paid Search,252
2021-09-21,Referral,53
2021-09-21,Social,228
2021-09-22,Direct,113
2021-09-22,Email,122
2021-09-22,Organic Search,510
2021-09-22,Paid Search,419
2021-09-22,Referral,114
2021-09-22,Social,282
2021-09-23,Direct,109
2021-09-23,Email,99
2021-09-23,Organic Search,676
2021-09-23,Paid Search,516
2021-09-23,Referral,55
2021-09-23,Social,418
2021-09-24,Direct,130
2021-09-24,Email,82
2021-09-24,Organic Search,647
2021-09-24,Paid Search,241
2021-09-24,Referral,45
2021-09-24,Social,187
2021-09-25,Direct,210
2021-09-25,Email,54
2021-09-25,Organic Search,252
2021-09-25,Paid Search,676
2021-09-25,Referral,92
2021-09-25,Social,837
2021-09-26,Direct,258
2021-09-26,Email,176
2021-09-26,Organic Search,661
2021-09-26,Paid Search,279
2021-09-26,Referral,48
2021-09-26,Social,177
2021-09-27,Direct,141
2021-09-27,Email,89
2021-09-27,Organic Search,410
2021-09-27,Paid Search,240
2021-09-27,Referral,81
2021-09-27,Social,426
2021-09-28,Direct,187
2021-09-28,Email,84
2021-09-28,Organic Search,675
2021-09-28,Paid Search,368
2021-09-28,Referral,103
2021-09-28,Social,290
2021-09-29,Direct,214
2021-09-29,Email,66
2021-09-29,Organic Search,307
2021-09-29,Paid Search,221
2021-09-29,Referral,30
2021-09-29,Social,313
2021-09-30,Direct,349
2021-09-30,Email,81
2021-09-30,Organic Search,429
2021-09-30,Paid Search,357
2021-09-30,Referral,123
2021-09-30,Social,416
2021-10-01,Direct,109
2021-10-01,Email,96
2021-10-01,Organic Search,654
2021-10-01,Paid Search,466
2021-10-01,Referral,43
2021-10-01,Social,712
2021-10-02,Direct,149
2021-10-02,Email,62
2021-10-02,Organic Search,295
2021-10-02,Paid Search,395
2021-10-02,Referral,52
2021-10-02,Social,391
2021-10-03,Direct,188
2021-10-03,Email,112
2021-10-03,Organic Search,610
2021-10-03,Paid Search,224
2021-10-03,Referral,147
2021-10-03,Social,304
2021-10-04,Direct,133
2021-10-04,Email,134
2021-10-04,Organic Search,740
2021-10-04,Paid Search,445
2021-10-04,Referral,77
2021-10-04,Social,321
2021-10-05,Direct,185
2021-10-05,Email,278
2021-10-05,Organic Search,547
2021-10-05,Paid Search,182
2021-10-05,Referral,56
2021-10-05,Social,203
2021-10-06,Direct,173
2021-10-06,Email,82
2021-10-06,Organic Search,601
2021-10-06,Paid Search,396
2021-10-06,Referral,71
2021-10-06,Social,216
2021-10-07,Direct,129
2021-10-07,Email,101
2021-10-07,Organic Search,676
2021-10-07,Paid Search,473
2021-10-07,Referral,125
2021-10-07,Social,286
2021-10-08,Direct,255
2021-10-08,Email,97
2021-10-08,Organic Search,316
2021-10-08,Paid Search,316
2021-10-08,Referral,237
2021-10-08,Social,296
2021-10-09,Direct,126
2021-10-09,Email,97
2021-10-09,Organic Search,514
2021-10-09,Paid Search,274
2021-10-09,Referral,216
2021-10-09,Social,244
2021-10-10,Direct,434
2021-10-10,Email,34
2021-10-10,Organic Search,374
2021-10-10,Paid Search,285
2021-10-10,Referral,189
2021-10-10,Social,456
2021-10-11,Direct,206
2021-10-11,Email,20
