ID,deaths,pumpID,distpump,distBSpump,BSpump,COORD_X,COORD_Y,Latitude,Longitude,geom_source
1,3,1,88.048463737998915,88.048,1,529308.741420158185065,181031.351545980258379,51.51341771,-0.13793006,point_from_csv_bng
2,2,1,84.400412550303329,84.400,1,529312.163571448763832,181025.172400684969034,51.51336139,-0.13788304,point_from_csv_bng
3,1,1,82.319196917910901,82.319,1,529314.382429573452100,181020.293687972472981,51.51331704,-0.13785287,point_from_csv_bng
4,1,1,79.916876055057088,79.917,1,529317.379644945496693,181014.258770240528975,51.51326212,-0.13781191,point_from_csv_bng
5,4,1,77.809998314350267,77.810,1,529320.675449059694074,181007.871627695451025,51.51320397,-0.13776678,point_from_csv_bng
6,2,1,62.833900718223070,62.834,1,529336.684154062066227,181006.006245353259146,51.51318355,-0.13753690,point_from_csv_bng
7,2,1,106.425836511145988,106.426,1,529290.146762424847111,181024.365977009991184,51.51335918,-0.13820044,point_from_csv_bng
8,2,1,95.623353231476500,95.623,1,529301.022868872038089,181021.176303344778717,51.51332803,-0.13804496,point_from_csv_bng
9,3,2,109.814092391418285,111.679,0,529284.998670098953880,181020.203615305072162,51.51332295,-0.13827611,point_from_csv_bng
10,2,2,107.006801780608157,108.423,0,529288.359388966229744,181031.830067978880834,51.51342667,-0.13822344,point_from_csv_bng
11,2,2,102.725689780251770,115.974,0,529280.609235955984332,181026.571686177339870,51.51338118,-0.13833700,point_from_csv_bng
12,1,2,84.661572236386675,132.246,0,529264.720892653916962,181035.197909316106234,51.51346234,-0.13856267,point_from_csv_bng
13,3,2,109.027221010915042,122.829,0,529274.931949772406369,181008.037777933466714,51.51321592,-0.13842555,point_from_csv_bng
14,1,2,114.941990559191964,120.289,0,529278.335029209614731,181002.952261121652555,51.51316944,-0.13837840,point_from_csv_bng
15,4,1,118.561120705576187,118.561,1,529281.350125790224411,180997.134279946039896,51.51311647,-0.13833711,point_from_csv_bng
16,1,2,96.332043198129142,137.765,0,529259.609806411201134,181010.283400137210265,51.51323961,-0.13864541,point_from_csv_bng
17,1,2,100.360859878106027,142.308,0,529256.182926036883146,181001.829363717173692,51.51316441,-0.13869787,point_from_csv_bng
18,1,1,89.095023664289101,89.095,1,529309.823201741091907,181004.725401814968791,51.51317818,-0.13792424,point_from_csv_bng
