ID,date,date_code,ventilator,pestfield,COORD_X,COORD_Y,Latitude,Longitude,geom_source
1,Before 1851,1,0,0,529329.970395044190809,180846.585337265511043,51.51175241,-0.13769202,point_from_csv_bng
2,Before 1851,1,0,0,529316.939419229864143,180846.973339610325638,51.51175888,-0.13787956,point_from_csv_bng
3,Before 1851,1,0,0,529323.970205598394386,180835.351098483602982,51.51165283,-0.13778256,point_from_csv_bng
4,Before 1851,1,0,0,529291.026014503091574,180792.489371238101739,51.51127517,-0.13827273,point_from_csv_bng
5,Before 1851,1,0,0,529370.045104179298505,180791.847680181323085,51.51125134,-0.13713493,point_from_csv_bng
6,Before 1851,1,0,0,529363.628646598313935,180800.438509273051750,51.51133001,-0.13722419,point_from_csv_bng
7,Before 1851,1,0,0,529360.027034148573875,180789.235801546717994,51.51123016,-0.13728016,point_from_csv_bng
8,Before 1851,1,0,0,529394.114942291518673,180750.036445413832553,51.51087009,-0.13680360,point_from_csv_bng
9,Before 1851,1,0,0,529392.109565362799913,180746.281712025695015,51.51083680,-0.13683386,point_from_csv_bng
10,Before 1851,1,0,0,529444.655433517880738,180778.427600640919991,51.51111366,-0.13606530,point_from_csv_bng
11,Before 1851,1,0,0,529433.836127512622625,180790.778243717039004,51.51122713,-0.13621660,point_from_csv_bng
12,Before 1851,1,0,0,529430.864559860667214,180787.840633001760580,51.51120141,-0.13626047,point_from_csv_bng
13,Before 1851,1,0,0,529408.332810443709604,180826.997278332419228,51.51155846,-0.13657061,point_from_csv_bng
14,Before 1851,1,0,0,529404.305007982649840,180820.160759270132985,51.51149794,-0.13663113,point_from_csv_bng
15,Before 1851,1,0,0,529397.305768596008420,180826.884868695458863,51.51155997,-0.13672947,point_from_csv_bng
16,Before 1851,1,0,0,529374.258217707974836,180873.940924678114243,51.51198812,-0.13704415,point_from_csv_bng
17,Before 1851,1,0,0,529500.632325841812417,181018.067791280336678,51.51325442,-0.13517118,point_from_csv_bng
18,Before 1851,1,0,0,529502.410524993785657,181014.241069130017422,51.51321962,-0.13514697,point_from_csv_bng
19,Before 1851,1,0,0,529463.655212377663702,181059.381349000846967,51.51363416,-0.13568859,point_from_csv_bng
20,Before 1851,1,0,0,529474.101241305936128,181053.418546972679906,51.51357818,-0.13554033,point_from_csv_bng
21,Before 1851,1,0,0,529469.302837845869362,181002.623171934916172,51.51312280,-0.13562808,point_from_csv_bng
22,Before 1851,1,0,0,529465.221668838523328,181002.014156157907564,51.51311826,-0.13568708,point_from_csv_bng
23,Before 1851,1,0,0,529379.302081724745221,180931.644716581387911,51.51250553,-0.13695035,point_from_csv_bng
24,Before 1851,1,0,0,529365.342407542280853,180935.329740450310055,51.51254184,-0.13715005,point_from_csv_bng
25,Before 1851,1,0,0,529368.397375590866432,180930.862078166275751,51.51250099,-0.13710769,point_from_csv_bng
26,Before 1851,1,0,0,529347.106201050803065,180917.188928554300219,51.51238299,-0.13741935,point_from_csv_bng
27,Before 1851,1,0,0,529337.086151246912777,180910.536657190765254,51.51232550,-0.13756610,point_from_csv_bng
28,Before 1851,1,0,0,529346.932570692151785,180911.628990388067905,51.51233306,-0.13742389,point_from_csv_bng
29,Before 1851,1,0,0,529342.264272585976869,180909.321643696574029,51.51231339,-0.13749197,point_from_csv_bng
30,Before 1851,1,0,0,529363.781983577064238,180881.081615101429634,51.51205469,-0.13719242,point_from_csv_bng
31,Before 1851,1,0,0,529366.845660390914418,180884.526579568802845,51.51208495,-0.13714703,point_from_csv_bng
32,Before 1851,1,0,0,529370.731691444409080,180863.918559749785345,51.51189886,-0.13709862,point_from_csv_bng
33,Before 1851,1,0,0,529366.931192936608568,180872.912670072517358,51.51198056,-0.13715005,point_from_csv_bng
34,Before 1851,1,0,0,529202.995858624926768,181051.314760176348500,51.51362128,-0.13944578,point_from_csv_bng
35,Before 1851,1,0,0,529206.501315380563028,181054.713955638755579,51.51365103,-0.13939405,point_from_csv_bng
36,Before 1851,1,0,0,529382.119558604084887,181127.814334645925555,51.51426780,-0.13683784,point_from_csv_bng
37,Before 1851,1,0,0,529385.922544823726639,181143.968424649676308,51.51441210,-0.13677715,point_from_csv_bng
38,Before 1851,1,0,0,529384.769556310027838,181148.654298740380909,51.51445448,-0.13679203,point_from_csv_bng
39,Before 1851,1,0,0,529376.333590840105899,181155.193772918020841,51.51451518,-0.13691114,point_from_csv_bng
40,Before 1851,1,0,0,529371.661506408592686,181154.437638163159136,51.51450945,-0.13697871,point_from_csv_bng
41,Before 1851,1,0,0,529411.805944527732208,181030.866837821202353,51.51338977,-0.13644583,point_from_csv_bng
42,Before 1851,1,0,0,529417.558716251864098,181039.698250375513453,51.51346782,-0.13635973,point_from_csv_bng
43,Before 1851,1,0,0,529422.361217280151322,181041.969397042645141,51.51348713,-0.13628973,point_from_csv_bng
44,Before 1851,1,0,0,529430.600092079956084,181040.925725818320643,51.51347587,-0.13617145,point_from_csv_bng
45,Before 1851,1,0,0,529430.162574943387881,181027.394760016293731,51.51335437,-0.13618271,point_from_csv_bng
46,Before 1851,1,0,0,529481.887262946227565,181057.222107847395819,51.51361058,-0.13542679,point_from_csv_bng
47,Before 1851,1,0,0,529489.214167047757655,181075.879672159440815,51.51377657,-0.13531442,point_from_csv_bng
48,Before 1851,1,0,0,529502.913769125938416,181066.584666611626744,51.51368990,-0.13512052,point_from_csv_bng
49,Before 1851,1,0,0,529495.566604838590138,181086.748109770414885,51.51387279,-0.13521894,point_from_csv_bng
50,Before 1851,1,0,0,529500.145873338449746,181089.153225712361746,51.51389335,-0.13515210,point_from_csv_bng
51,Before 1851,1,0,0,529321.805729636806063,180849.831571414833888,51.51178345,-0.13780842,point_from_csv_bng
52,Before 1851,1,0,0,529335.365785250440240,180839.238985665666405,51.51168516,-0.13761701,point_from_csv_bng
53,Before 1851,1,0,0,529296.744467887794599,180874.811046360526234,51.51201367,-0.13816021,point_from_csv_bng
54,Before 1851,1,0,0,529298.537577502196655,180878.454571773705538,51.51204600,-0.13813305,point_from_csv_bng
55,Before 1851,1,0,0,529299.486416506697424,180883.515781823894940,51.51209127,-0.13811753,point_from_csv_bng
56,Before 1851,1,0,0,529289.251968885888346,180876.347434942144901,51.51202919,-0.13826756,point_from_csv_bng
57,Before 1851,1,0,0,529289.640413299202919,180882.257884650724009,51.51208221,-0.13825980,point_from_csv_bng
58,Before 1851,1,0,0,529311.305345577304251,180902.525603564747144,51.51225940,-0.13794034,point_from_csv_bng
59,Before 1851,1,0,0,529314.858415442053229,180904.055170758161694,51.51227233,-0.13788861,point_from_csv_bng
60,Before 1851,1,0,0,529293.762415698147379,180924.961972708755638,51.51246504,-0.13818478,point_from_csv_bng
61,Before 1851,1,0,0,529297.293520181439817,180927.354467204422690,51.51248573,-0.13813305,point_from_csv_bng
62,Before 1851,1,0,0,529250.152172721573152,180983.721871084009763,51.51300307,-0.13879136,point_from_csv_bng
63,Before 1851,1,0,0,529254.293145372299477,180986.849428512272425,51.51303023,-0.13873057,point_from_csv_bng
64,Before 1851,1,0,0,529242.684014442027546,180994.901330296997912,51.51310524,-0.13889482,point_from_csv_bng
65,Before 1851,1,0,0,529246.473337528994307,180997.732106337498408,51.51312981,-0.13883921,point_from_csv_bng
66,Before 1851,1,0,0,529211.413036663900129,181052.248341885395348,51.51362775,-0.13932421,point_from_csv_bng
67,Before 1851,1,0,0,529206.158355038613081,181043.479769515397493,51.51355015,-0.13940310,point_from_csv_bng
68,Before 1851,1,0,0,529183.095391651499085,181223.657528391282540,51.51517462,-0.13966931,point_from_csv_bng
69,Before 1851,1,0,0,529211.298248431528918,181013.468188397760969,51.51327927,-0.13934006,point_from_csv_bng
70,Before 1851,1,0,0,529192.229158006841317,181002.413803699251730,51.51318428,-0.13961876,point_from_csv_bng
71,Before 1851,1,0,0,529194.498973727575503,181068.139232175715733,51.51377442,-0.13956200,point_from_csv_bng
72,Before 1851,1,0,0,529545.912841535406187,180936.761084779398516,51.51251337,-0.13454887,point_from_csv_bng
73,Before 1851,1,0,0,529574.576866806601174,180958.300402144726831,51.51270037,-0.13412813,point_from_csv_bng
74,Before 1851,1,0,0,529573.088339775684290,181013.213537800242193,51.51319420,-0.13412940,point_from_csv_bng
75,Before 1851,1,0,0,529565.035842078854330,181039.223267028166447,51.51342978,-0.13423583,point_from_csv_bng
76,Before 1851,1,0,0,529634.668756226426922,181009.379986413114239,51.51314563,-0.13324389,point_from_csv_bng
77,Before 1851,1,1,0,529260.631587175303139,180767.918727238837164,51.51106131,-0.13871947,point_from_csv_bng
78,Before 1851,1,1,0,529178.119651376502588,180875.198005766258575,51.51204425,-0.13986854,point_from_csv_bng
79,Before 1851,1,0,0,529435.523633899167180,181131.678764547803439,51.51429031,-0.13606725,point_from_csv_bng
80,Before 1851,1,0,0,529425.928659299388528,181126.285507179389242,51.51424404,-0.13620742,point_from_csv_bng
81,Before 1851,1,0,0,529437.793792198994197,181116.744246472720988,51.51415558,-0.13604003,point_from_csv_bng
82,Before 1851,1,0,0,529451.543712686048821,181099.982008775696158,51.51400179,-0.13584814,point_from_csv_bng
83,Before 1851,1,0,0,529449.535648594726808,181104.625429368519690,51.51404398,-0.13587536,point_from_csv_bng
84,Before 1851,1,1,0,529483.077497013378888,181242.461976412101649,51.51527500,-0.13534167,point_from_csv_bng
85,Before 1851,1,1,0,529506.451973244664259,181071.832299866771791,51.51373625,-0.13506763,point_from_csv_bng
86,Before 1851,1,1,0,529452.625173697597347,181175.543941054726020,51.51468060,-0.13580484,point_from_csv_bng
87,Before 1851,1,1,0,529378.159853055491112,181315.272897587739863,51.51595334,-0.13682613,point_from_csv_bng
88,Before 1851,1,1,0,529429.847102924948558,181034.032493342412636,51.51341409,-0.13618482,point_from_csv_bng
89,Before 1851,1,0,0,529473.347515029599890,180987.726319056760985,51.51298800,-0.13557529,point_from_csv_bng
90,Before 1851,1,1,0,529206.901615121634677,181050.906051112688147,51.51361671,-0.13938968,point_from_csv_bng
91,Before 1851,1,1,0,529246.644181893207133,180994.229758864734322,51.51309830,-0.13883803,point_from_csv_bng
92,Before 1851,1,1,0,529398.608915181248449,180738.505565585044678,51.51076543,-0.13674311,point_from_csv_bng
93,Before 1851,1,1,0,529437.979607366374694,180783.586805831466336,51.51116156,-0.13615956,point_from_csv_bng
94,Before 1851,1,1,0,529151.355076458770782,181014.068501201574691,51.51329835,-0.14020319,point_from_csv_bng
95,Before 1851,1,1,0,529219.916251480113715,180970.993057503248565,51.51289559,-0.13923150,point_from_csv_bng
96,Before 1851,1,1,0,529140.694333265651949,181092.192505855113268,51.51400287,-0.14032814,point_from_csv_bng
97,Before 1851,1,1,0,529118.257099492708221,180990.892343026876915,51.51309763,-0.14068837,point_from_csv_bng
98,Before 1851,1,0,0,529374.664486652589403,180717.608218021341600,51.51058311,-0.13709561,point_from_csv_bng
99,Before 1851,1,1,0,529359.180548581643961,180711.948955364350695,51.51053580,-0.13732069,point_from_csv_bng
100,Before 1851,1,0,0,529260.821549909887835,181140.971182493085507,51.51441378,-0.13858008,point_from_csv_bng
101,Before 1851,1,0,0,529524.162507330533117,180972.708068433683366,51.51284140,-0.13484893,point_from_csv_bng
102,Before 1851,1,0,0,529529.625530454446562,180972.678952736780047,51.51283988,-0.13477026,point_from_csv_bng
103,Before 1851,1,0,0,529540.918489234056324,180945.862545487703755,51.51259631,-0.13461746,point_from_csv_bng
104,Before 1851,1,0,0,529547.923929092707112,180951.259942531294655,51.51264321,-0.13451458,point_from_csv_bng
105,Before 1851,1,0,0,529549.672164434683509,180948.610916595323943,51.51261900,-0.13449038,point_from_csv_bng
106,Before 1851,1,0,0,529554.868513706838712,180992.009165902389213,51.51300782,-0.13439960,point_from_csv_bng
107,Before 1851,1,0,0,529557.756354844430462,180994.102976738999132,51.51302597,-0.13435724,point_from_csv_bng
108,Before 1851,1,0,0,529574.925809217267670,180971.645185182744171,51.51282022,-0.13411820,point_from_csv_bng
109,Before 1851,1,0,0,529611.570330279995687,180988.741153305920307,51.51296546,-0.13358415,point_from_csv_bng
110,Before 1851,1,0,0,529609.262872687075287,180992.722692661103792,51.51300176,-0.13361592,point_from_csv_bng
111,Before 1851,1,0,0,529611.467060245224275,181001.028029570064973,51.51307590,-0.13358112,point_from_csv_bng
112,Before 1851,1,0,0,529616.632295473362319,181000.318016150267795,51.51306833,-0.13350699,point_from_csv_bng
113,Before 1851,1,0,0,529621.377631742041558,180999.597298218926881,51.51306077,-0.13343891,point_from_csv_bng
114,Before 1851,1,0,0,529651.992990926140919,181022.432033021585084,51.51325896,-0.13298958,point_from_csv_bng
115,Before 1851,1,0,0,529549.399852758971974,181049.950294722279068,51.51352977,-0.13445709,point_from_csv_bng
116,Before 1851,1,0,0,529522.505046401289292,181050.106520595552865,51.51353733,-0.13484439,point_from_csv_bng
117,Before 1851,1,0,0,529517.819801933714189,181048.471969042846467,51.51352372,-0.13491247,point_from_csv_bng
118,Before 1851,1,0,0,529655.311650297837332,180778.767854602134321,51.51106847,-0.13303131,point_from_csv_bng
119,Before 1851,1,0,0,529661.997754521784373,180779.916794949851464,51.51107726,-0.13293459,point_from_csv_bng
120,Before 1851,1,0,0,529647.384573727846146,180926.119538017839659,51.51239449,-0.13309134,point_from_csv_bng
121,Before 1851,1,0,0,529631.663942570216022,180948.474361409724224,51.51259899,-0.13330954,point_from_csv_bng
122,Before 1851,1,0,0,529626.361582245794125,180955.494300715916324,51.51266329,-0.13338333,point_from_csv_bng
123,Before 1851,1,0,0,529635.047593825496733,180956.419642154127359,51.51266961,-0.13325789,point_from_csv_bng
