School Name,District,Address,Mascot,Tier 1 Category,Tier 2 Category,Latitude,Longitude
Kirkwood High School,Kirkwood School District,"801 W Essex Ave, Kirkwood, MO 63122",Pioneers,Historical/Military Figures,Civic/Community Identity,38.5916682,-90.4233682
Webster Groves High School,Webster Groves School District,"100 Selma Ave, Webster Groves, MO 63119",Statesmen,Historical/Military Figures,Civic/Community Identity,38.5900792,-90.3480767
Ladue Horton Watkins High School,School District of Ladue,"1201 S Warson Rd, Ladue, MO 63124",Rams,Animals,Farm & Hoofed Animals,38.6393574,-90.3974309
Clayton High School,School District of Clayton,"1 Mark Twain Circle, Clayton, MO 63105",Greyhounds,Animals,Canines,38.6499859,-90.3462499
University City High School,School District of University City,"7401 Balson Ave, University City, MO 63130",Lions,Animals,Other Mammals,38.6636670,-90.3295760
Lindbergh High School,Lindbergh Schools,"5000 S Lindbergh Blvd, Sappington, MO 63126",Flyers,Objects/Characters/Other,Flight-Themed,38.5280590,-90.3744890
Affton High School,Affton School District,"8309 Mackenzie Rd, Affton, MO 63123",Cougars,Animals,Big Cats & Wildcats,38.5600716,-90.3219866
Hazelwood West High School,Hazelwood School District,"1 Wildcat Lane, Hazelwood, MO 63042",Wildcats,Animals,Big Cats & Wildcats,38.7847960,-90.3799040
Pattonville High School,Pattonville School District (R-III),"2497 Creve Coeur Mill Rd, Maryland Heights, MO 63043",Pirates,Historical/Military Figures,Civic/Community Identity,38.7414966,-90.4546163
Fort Zumwalt North High School,Fort Zumwalt School District (R-II),"1230 Tom Ginnever Ave, O'Fallon, MO 63366",Panthers,Animals,Big Cats & Wildcats,38.8201819,-90.6677264
Parkway Central High School,Parkway School District,"369 N Woods Mill Rd, Chesterfield, MO 63017",Colts,Animals,Farm & Hoofed Animals,38.6650820,-90.5050951
Rockwood Summit High School,Rockwood School District (R-VI),"1780 Hawkins Rd, Fenton, MO 63026",Falcons,Animals,Birds of Prey,38.5189333,-90.4916353
Francis Howell Central High School,Francis Howell School District,"5199 Highway N, Cottleville, MO 63304",Spartans,Historical/Military Figures,Ancient & Classical Warriors,38.7475826,-90.6451948
Bayless High School,Bayless School District,"4532 Weber Rd, St. Louis, MO 63123",Bronchos,Animals,Farm & Hoofed Animals,38.5531392,-90.2823262
Vashon High School,St. Louis Public Schools,"3035 Cass Ave, St. Louis, MO 63106",Wolverines,Animals,Canines,38.6477881,-90.2200563
Washington High School,School District of Washington,"600 Blue Jay Dr, Washington, MO 63090",Blue Jays,Animals,Songbirds & Poultry,38.5476944,-91.0090061
Windsor High School,Windsor C-1 School District,"6208 US Hwy 61-67, Imperial, MO 63052",Owls,Animals,Birds of Prey,38.3631258,-90.3679342
Troy Buchanan High School,Lincoln County R-III School District,"1190 Old Cap-au-Gris Rd, Troy, MO 63379",Trojans,Historical/Military Figures,Ancient & Classical Warriors,38.9772456,-90.9567013
Normandy High School,Normandy Schools Collaborative,"6701 St. Charles Rock Rd, Wellston, MO 63133",Vikings,Historical/Military Figures,Norse/Viking Figures,38.6761876,-90.2875157
Kirksville High School,Kirksville R-III School District,"1300 S Cottage Grove Ave, Kirksville, MO 63501",Tigers,Animals,Big Cats & Wildcats,40.1852072,-92.5674158
